Complex2	GLS dimer	mitochondrial matrix	Reactome DB_ID: 507860	Protein2	
Complex3	GLS2 dimer	mitochondrial matrix	Reactome DB_ID: 507858	Protein3	
Complex4	Empty Glutamate Synaptic Vesicle	cytosol	Reactome DB_ID: 264795	Protein4	
Complex4	Empty Glutamate Synaptic Vesicle	cytosol	Reactome DB_ID: 264795	Protein5	
Complex4	Empty Glutamate Synaptic Vesicle	cytosol	Reactome DB_ID: 264795	Protein6	
Complex4	Empty Glutamate Synaptic Vesicle	cytosol	Reactome DB_ID: 264795	Protein7	
Complex5	Glutamate loaded synaptic vesicle	cytosol	Reactome DB_ID: 210380	Protein4	
Complex5	Glutamate loaded synaptic vesicle	cytosol	Reactome DB_ID: 210380	Protein5	
Complex5	Glutamate loaded synaptic vesicle	cytosol	Reactome DB_ID: 210380	Protein6	
Complex5	Glutamate loaded synaptic vesicle	cytosol	Reactome DB_ID: 210380	SmallMolecule10	
Complex5	Glutamate loaded synaptic vesicle	cytosol	Reactome DB_ID: 210380	Protein7	
Complex6	Docked Glutamate Loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 210458	Complex5	
Complex6	Docked Glutamate Loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 210458	Protein8	
Complex6	Docked Glutamate Loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 210458	Protein9	
Complex6	Docked Glutamate Loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 210458	Protein10	
Complex6	Docked Glutamate Loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 210458	Protein12	
Complex6	Docked Glutamate Loaded Synaptic Vesicle	plasma membrane	Reactome DB_ID: 210458	Protein11	
Complex7	Rab3-RIM complex	plasma membrane	Reactome DB_ID: 210374	Protein8	
Complex7	Rab3-RIM complex	plasma membrane	Reactome DB_ID: 210374	Protein15	
Complex8	SNARE complex	plasma membrane	Reactome DB_ID: 210441	Protein9	
Complex8	SNARE complex	plasma membrane	Reactome DB_ID: 210441	Protein16	
Complex8	SNARE complex	plasma membrane	Reactome DB_ID: 210441	Protein12	
