PhysicalEntity1	Ubiquitin ligase	cytosol	Reactome DB_ID: 69593	NA	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein2	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein3	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein4	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein5	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein6	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein7	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein8	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein9	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein10	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein11	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein12	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein13	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein14	
Protein1	Ub	cytosol	Reactome DB_ID: 113595	Protein15	
