PhysicalEntity1	Trichloromethyl radical	endoplasmic reticulum lumen	Reactome DB_ID: 76433	NA	
Protein15	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein10	
Protein15	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein7	
Protein15	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein13	
Protein15	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein12	
Protein15	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein11	
Protein15	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein8	
Protein15	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein6	
Protein15	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein5	
Protein15	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein16	
Protein15	Cytochrome P450 (CYP2B6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219427	Protein14	
Protein17	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein13	
Protein17	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein10	
Protein17	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein11	
Protein17	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein8	
Protein17	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein12	
Protein17	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein18	
Protein17	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein16	
Protein17	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein7	
Protein17	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein6	
Protein17	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein5	
Protein17	Cytochrome P450 (CYP2C8 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3215460	Protein19	
Protein20	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein12	
Protein20	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein11	
Protein20	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein13	
Protein20	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein8	
Protein20	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein7	
Protein20	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein5	
Protein20	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein10	
Protein20	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein16	
Protein20	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein18	
Protein20	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein6	
Protein20	Cytochrome P450 (CYP2C9 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219414	Protein19	
Protein21	Cytochrome P450 (CYP2C18 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222327	Protein19	
Protein21	Cytochrome P450 (CYP2C18 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222327	Protein13	
Protein21	Cytochrome P450 (CYP2C18 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222327	Protein16	
Protein21	Cytochrome P450 (CYP2C18 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222327	Protein12	
Protein21	Cytochrome P450 (CYP2C18 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222327	Protein11	
Protein22	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein11	
Protein22	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein12	
Protein22	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein13	
Protein22	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein8	
Protein22	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein7	
Protein22	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein5	
Protein22	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein10	
Protein22	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein16	
Protein22	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein18	
Protein22	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein6	
Protein22	Cytochrome P450 (CYP2C19 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222363	Protein19	
Protein23	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein8	
Protein23	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein10	
Protein23	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein11	
Protein23	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein13	
Protein23	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein12	
Protein23	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein18	
Protein23	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein16	
Protein23	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein7	
Protein23	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein4	
Protein23	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein6	
Protein23	Cytochrome P450 (CYP2E1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 2990860	Protein5	
Protein24	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein18	
Protein24	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein14	
Protein24	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein13	
Protein24	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein25	
Protein24	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein8	
Protein24	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein11	
Protein24	Cytochrome P450 (CYP2D6 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219409	Protein12	
Protein26	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein7	
Protein26	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein10	
Protein26	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein11	
Protein26	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein13	
Protein26	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein12	
Protein26	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein16	
Protein26	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein4	
Protein26	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein6	
Protein26	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein5	
Protein26	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein8	
Protein26	Cytochrome P450 (CYP2F1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222321	Protein14	
Protein27	Cytochrome P450 (CYPIIIA4 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229233	Protein28	
Protein27	Cytochrome P450 (CYPIIIA4 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229233	Protein29	
Protein27	Cytochrome P450 (CYPIIIA4 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229233	Protein30	
Protein27	Cytochrome P450 (CYPIIIA4 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3229233	Protein31	
Protein3	Cytochrome P450 (CYP2A3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219412	Protein4	
Protein3	Cytochrome P450 (CYP2A3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219412	Protein5	
Protein3	Cytochrome P450 (CYP2A3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219412	Protein6	
Protein3	Cytochrome P450 (CYP2A3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219412	Protein7	
Protein3	Cytochrome P450 (CYP2A3 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219412	Protein8	
Protein32	Cytochrome P450 (CYP3A5 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219430	Protein30	
Protein32	Cytochrome P450 (CYP3A5 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219430	Protein28	
Protein32	Cytochrome P450 (CYP3A5 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219430	Protein29	
Protein32	Cytochrome P450 (CYP3A5 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219430	Protein31	
Protein33	Cytochrome P450 (CYP3A7 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219438	Protein29	
Protein33	Cytochrome P450 (CYP3A7 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219438	Protein28	
Protein33	Cytochrome P450 (CYP3A7 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219438	Protein30	
Protein33	Cytochrome P450 (CYP3A7 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3219438	Protein31	
Protein9	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein6	
Protein9	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein4	
Protein9	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein5	
Protein9	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein7	
Protein9	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein10	
Protein9	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein11	
Protein9	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein12	
Protein9	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein13	
Protein9	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein8	
Protein9	Cytochrome P450 (CYP2A13 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222449	Protein14	
