BiochemicalReaction1	ALOX5 is phosphorylated by MAPKAP2	Complex1	Complex2	
BiochemicalReaction10	20cooh-LTB4 is converted to 18cooh-LTB4	SmallMolecule18	SmallMolecule19	
BiochemicalReaction11	LTA4 is converted to LTC4 by LTC4S	SmallMolecule20	SmallMolecule21	
BiochemicalReaction11	LTA4 is converted to LTC4 by LTC4S	SmallMolecule8	SmallMolecule21	
BiochemicalReaction12	ABCC1 mediates LTC4 export from the cell	SmallMolecule21	SmallMolecule22	
BiochemicalReaction13	LTC4 is converted to LTD4 by GGT1/5	SmallMolecule22	SmallMolecule23	
BiochemicalReaction13	LTC4 is converted to LTD4 by GGT1/5	SmallMolecule22	SmallMolecule24	
BiochemicalReaction14	Further cleavage of LTD4 forms LTE4	SmallMolecule23	SmallMolecule26	
BiochemicalReaction14	Further cleavage of LTD4 forms LTE4	SmallMolecule25	SmallMolecule26	
BiochemicalReaction14	Further cleavage of LTD4 forms LTE4	SmallMolecule25	SmallMolecule27	
BiochemicalReaction14	Further cleavage of LTD4 forms LTE4	SmallMolecule23	SmallMolecule27	
BiochemicalReaction15	LTA4 is hydrolysed to 6t-/6t,12epi-LTB4	SmallMolecule8	SmallMolecule28	
BiochemicalReaction15	LTA4 is hydrolysed to 6t-/6t,12epi-LTB4	SmallMolecule9	SmallMolecule28	
BiochemicalReaction16	LTA4 is converted to EXA4 by ALOX15	SmallMolecule8	SmallMolecule31	
BiochemicalReaction17	EXA4 is converted to EXC4 by LTC4S	SmallMolecule31	SmallMolecule32	
BiochemicalReaction17	EXA4 is converted to EXC4 by LTC4S	SmallMolecule20	SmallMolecule32	
BiochemicalReaction18	EXC4 is converted to EXD4 by GGT	SmallMolecule32	SmallMolecule33	
BiochemicalReaction18	EXC4 is converted to EXD4 by GGT	SmallMolecule32	SmallMolecule34	
BiochemicalReaction19	EXD4 is converted to EXE4 by DPEP	SmallMolecule33	SmallMolecule35	
BiochemicalReaction19	EXD4 is converted to EXE4 by DPEP	SmallMolecule9	SmallMolecule35	
BiochemicalReaction19	EXD4 is converted to EXE4 by DPEP	SmallMolecule9	SmallMolecule36	
BiochemicalReaction19	EXD4 is converted to EXE4 by DPEP	SmallMolecule33	SmallMolecule36	
BiochemicalReaction2	Oxidation of arachidonic acid to 5-HpETE	SmallMolecule3	SmallMolecule5	
BiochemicalReaction2	Oxidation of arachidonic acid to 5-HpETE	SmallMolecule4	SmallMolecule5	
BiochemicalReaction3	5S-HpETE is dehydrated to LTA4 by ALOX5	SmallMolecule5	SmallMolecule8	
BiochemicalReaction3	5S-HpETE is dehydrated to LTA4 by ALOX5	SmallMolecule5	SmallMolecule9	
BiochemicalReaction4	LTA4 is hydrolyzed to LTB4	SmallMolecule8	SmallMolecule10	
BiochemicalReaction4	LTA4 is hydrolyzed to LTB4	SmallMolecule9	SmallMolecule10	
