BiochemicalReaction1	abacavir [extracellular] => abacavir [cytosol]	SmallMolecule1	SmallMolecule2	
BiochemicalReaction10	Phosphorylation of carbovir diphosphate	SmallMolecule3	SmallMolecule25	
BiochemicalReaction10	Phosphorylation of carbovir diphosphate	SmallMolecule24	SmallMolecule25	
BiochemicalReaction10	Phosphorylation of carbovir diphosphate	SmallMolecule24	SmallMolecule6	
BiochemicalReaction10	Phosphorylation of carbovir diphosphate	SmallMolecule3	SmallMolecule6	
BiochemicalReaction2	ABCG2-mediated abacavir efflux	SmallMolecule2	SmallMolecule5	
BiochemicalReaction2	ABCG2-mediated abacavir efflux	SmallMolecule3	SmallMolecule5	
BiochemicalReaction2	ABCG2-mediated abacavir efflux	SmallMolecule4	SmallMolecule5	
BiochemicalReaction2	ABCG2-mediated abacavir efflux	SmallMolecule4	SmallMolecule6	
BiochemicalReaction2	ABCG2-mediated abacavir efflux	SmallMolecule3	SmallMolecule6	
BiochemicalReaction2	ABCG2-mediated abacavir efflux	SmallMolecule2	SmallMolecule6	
BiochemicalReaction2	ABCG2-mediated abacavir efflux	SmallMolecule4	SmallMolecule1	
BiochemicalReaction2	ABCG2-mediated abacavir efflux	SmallMolecule3	SmallMolecule1	
BiochemicalReaction2	ABCG2-mediated abacavir efflux	SmallMolecule2	SmallMolecule1	
BiochemicalReaction3	ABCB1-mediated abacavir efflux	SmallMolecule2	SmallMolecule5	
BiochemicalReaction3	ABCB1-mediated abacavir efflux	SmallMolecule3	SmallMolecule5	
BiochemicalReaction3	ABCB1-mediated abacavir efflux	SmallMolecule4	SmallMolecule5	
BiochemicalReaction3	ABCB1-mediated abacavir efflux	SmallMolecule4	SmallMolecule6	
BiochemicalReaction3	ABCB1-mediated abacavir efflux	SmallMolecule3	SmallMolecule6	
BiochemicalReaction3	ABCB1-mediated abacavir efflux	SmallMolecule2	SmallMolecule6	
BiochemicalReaction3	ABCB1-mediated abacavir efflux	SmallMolecule4	SmallMolecule1	
BiochemicalReaction3	ABCB1-mediated abacavir efflux	SmallMolecule3	SmallMolecule1	
BiochemicalReaction3	ABCB1-mediated abacavir efflux	SmallMolecule2	SmallMolecule1	
BiochemicalReaction4	Glucuronidation of abacavir	SmallMolecule2	SmallMolecule8	
BiochemicalReaction4	Glucuronidation of abacavir	SmallMolecule7	SmallMolecule8	
BiochemicalReaction4	Glucuronidation of abacavir	SmallMolecule7	SmallMolecule9	
BiochemicalReaction4	Glucuronidation of abacavir	SmallMolecule2	SmallMolecule9	
BiochemicalReaction5	Oxidation of abacavir to abacavir 5'-carboxylate	SmallMolecule2	SmallMolecule11	
BiochemicalReaction5	Oxidation of abacavir to abacavir 5'-carboxylate	SmallMolecule10	SmallMolecule11	
BiochemicalReaction5	Oxidation of abacavir to abacavir 5'-carboxylate	SmallMolecule10	SmallMolecule12	
BiochemicalReaction5	Oxidation of abacavir to abacavir 5'-carboxylate	SmallMolecule2	SmallMolecule12	
BiochemicalReaction5	Oxidation of abacavir to abacavir 5'-carboxylate	SmallMolecule10	SmallMolecule13	
BiochemicalReaction5	Oxidation of abacavir to abacavir 5'-carboxylate	SmallMolecule2	SmallMolecule13	
BiochemicalReaction6	Phosphorylation of abacavir	SmallMolecule2	SmallMolecule16	
BiochemicalReaction6	Phosphorylation of abacavir	SmallMolecule15	SmallMolecule16	
BiochemicalReaction6	Phosphorylation of abacavir	SmallMolecule15	SmallMolecule17	
BiochemicalReaction6	Phosphorylation of abacavir	SmallMolecule2	SmallMolecule17	
BiochemicalReaction7	Deamination of abacavir monophosphate to form carbovir monophosphate	SmallMolecule4	SmallMolecule18	
BiochemicalReaction7	Deamination of abacavir monophosphate to form carbovir monophosphate	SmallMolecule16	SmallMolecule18	
BiochemicalReaction7	Deamination of abacavir monophosphate to form carbovir monophosphate	SmallMolecule16	SmallMolecule19	
BiochemicalReaction7	Deamination of abacavir monophosphate to form carbovir monophosphate	SmallMolecule4	SmallMolecule19	
BiochemicalReaction8	Conversion of carbovir to carbovir monophosphate	SmallMolecule20	SmallMolecule19	
BiochemicalReaction8	Conversion of carbovir to carbovir monophosphate	SmallMolecule21	SmallMolecule19	
BiochemicalReaction8	Conversion of carbovir to carbovir monophosphate	SmallMolecule21	SmallMolecule22	
BiochemicalReaction8	Conversion of carbovir to carbovir monophosphate	SmallMolecule20	SmallMolecule22	
BiochemicalReaction9	Phosphorylation of carbovir monophosphate	SmallMolecule19	SmallMolecule6	
BiochemicalReaction9	Phosphorylation of carbovir monophosphate	SmallMolecule3	SmallMolecule6	
BiochemicalReaction9	Phosphorylation of carbovir monophosphate	SmallMolecule3	SmallMolecule24	
BiochemicalReaction9	Phosphorylation of carbovir monophosphate	SmallMolecule19	SmallMolecule24	
