PhysicalEntity1	TXDH	endoplasmic reticulum lumen	Reactome DB_ID: 2161595	NA	
Protein14	Cytochrome P450 (CYP8A1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222410	Protein15	
Protein14	Cytochrome P450 (CYP8A1 based)	endoplasmic reticulum membrane	Reactome DB_ID: 3222410	Protein16	
SmallMolecule35	PGD2/E2/F2a	cytosol	Reactome DB_ID: 2161661	SmallMolecule28	
SmallMolecule35	PGD2/E2/F2a	cytosol	Reactome DB_ID: 2161661	SmallMolecule20	
SmallMolecule35	PGD2/E2/F2a	cytosol	Reactome DB_ID: 2161661	SmallMolecule17	
SmallMolecule37	15k-PGD2/E2/F2a	cytosol	Reactome DB_ID: 2161597	SmallMolecule38	
SmallMolecule37	15k-PGD2/E2/F2a	cytosol	Reactome DB_ID: 2161597	SmallMolecule39	
SmallMolecule37	15k-PGD2/E2/F2a	cytosol	Reactome DB_ID: 2161597	SmallMolecule40	
SmallMolecule42	15k-PGE2/F2a	cytosol	Reactome DB_ID: 2161650	SmallMolecule39	
SmallMolecule42	15k-PGE2/F2a	cytosol	Reactome DB_ID: 2161650	SmallMolecule40	
SmallMolecule43	dhk-PGE2/F2a	cytosol	Reactome DB_ID: 2161684	SmallMolecule44	
SmallMolecule43	dhk-PGE2/F2a	cytosol	Reactome DB_ID: 2161684	SmallMolecule45	
