Complex1	DAP12 dimer	plasma membrane	Reactome DB_ID: 548940	Protein1	
Complex10	HLA-C Cw4/Cw3:KIR2DS4:DAP12 dimer:KIR2DS4:HLA-C Cw3/Cw4	plasma membrane	Reactome DB_ID: 2272757	Complex8	
Complex10	HLA-C Cw4/Cw3:KIR2DS4:DAP12 dimer:KIR2DS4:HLA-C Cw3/Cw4	plasma membrane	Reactome DB_ID: 2272757	Complex1	
Complex100	PI3K:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250373	Protein32	
Complex100	PI3K:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250373	Complex101	
Complex101	PIK3R1:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250356	Complex102	
Complex101	PIK3R1:p-ERBB4cyt1	plasma membrane	Reactome DB_ID: 1250356	Protein96	
Complex103	p-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251953	Complex104	
Complex104	NRGs/EGF-like ligands:P-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251957	Protein109	
Complex104	NRGs/EGF-like ligands:P-ERBB4jmAcyt1	plasma membrane	Reactome DB_ID: 1251957	PhysicalEntity7	
Complex105	p-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251954	Complex106	
Complex106	NRGs/EGF-like ligands:P-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251958	Protein110	
Complex106	NRGs/EGF-like ligands:P-ERBB4jmBcyt1	plasma membrane	Reactome DB_ID: 1251958	PhysicalEntity7	
Complex107	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Protein32	
Complex107	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Protein35	
Complex107	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Complex108	
Complex107	EGF:p-6Y-EGFR:GRB2:GAB1:PIK3	plasma membrane	Reactome DB_ID: 179791	Complex87	
Complex108	EGF:p-6Y-EGFR	plasma membrane	Reactome DB_ID: 179882	Complex109	
Complex109	EGF:Phospho-EGFR	plasma membrane	Reactome DB_ID: 179860	Protein98	
Complex109	EGF:Phospho-EGFR	plasma membrane	Reactome DB_ID: 179860	Protein99	
Complex11	KIR2DS5:DAP12 dimer:KIR2DS5	plasma membrane	Reactome DB_ID: 2272749	Complex1	
Complex11	KIR2DS5:DAP12 dimer:KIR2DS5	plasma membrane	Reactome DB_ID: 2272749	Protein7	
Complex110	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein118	
Complex110	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein119	
Complex110	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Complex111	
Complex110	CD19 Signalosome	plasma membrane	Reactome DB_ID: 2076233	Protein121	
Complex111	PIK3CD:PIK3R1	plasma membrane	Reactome DB_ID: 1045152	Protein96	
Complex111	PIK3CD:PIK3R1	plasma membrane	Reactome DB_ID: 1045152	Protein120	
Complex112	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	Protein126	
Complex112	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	SmallMolecule4	
Complex113	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	Protein131	
Complex113	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	SmallMolecule4	
Complex114	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	Protein132	
Complex114	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	SmallMolecule4	
Complex115	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein136	
Complex115	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein137	
Complex115	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein138	
Complex115	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein139	
Complex116	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Protein140	
Complex116	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Complex112	
Complex117	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex113	
Complex117	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex114	
Complex118	PTEN:Mg2+	cytosol	Reactome DB_ID: 199426	SmallMolecule10	
Complex118	PTEN:Mg2+	cytosol	Reactome DB_ID: 199426	Protein191	
Complex119	PHLPP (Mn2+ cofactor)	cytosol	Reactome DB_ID: 199450	SmallMolecule11	
Complex119	PHLPP (Mn2+ cofactor)	cytosol	Reactome DB_ID: 199450	Protein196	
Complex12	KIR3DS1:HLA-Bw4	plasma membrane	Reactome DB_ID: 2272751	Protein8	
Complex12	KIR3DS1:HLA-Bw4	plasma membrane	Reactome DB_ID: 2272751	Protein9	
Complex120	PDPK1:PIP2	plasma membrane	Reactome DB_ID: 2219520	Protein131	
Complex120	PDPK1:PIP2	plasma membrane	Reactome DB_ID: 2219520	SmallMolecule3	
Complex122	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Complex123	
Complex122	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Protein200	
Complex122	miR-26A Endonucleolytic RISC	cytosol	Reactome DB_ID: 2318744	Protein201	
Complex123	miR-26A Endonucleolytic Minimal RISC	cytosol	Reactome DB_ID: 2318741	Rna1	
Complex123	miR-26A Endonucleolytic Minimal RISC	cytosol	Reactome DB_ID: 2318741	Protein199	
Complex124	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Protein200	
Complex124	miR-26A Nonendonucleolytic RISC	cytosol	Reactome DB_ID: 2318738	Complex125	
