Protein10	HARE	UniProt:Q8WWQ8 STAB2	Reactome DB_ID: 2160853	plasma membrane	
Protein100	LUM	UniProt:P51884 LUM	Reactome DB_ID: 2046161	Golgi lumen	
Protein101	OGN	UniProt:P20774 OGN	Reactome DB_ID: 2046262	Golgi lumen	
Protein102	OMD	UniProt:Q99983 OMD	Reactome DB_ID: 2046264	Golgi lumen	
Protein103	PRELP	UniProt:P51888 PRELP	Reactome DB_ID: 2046258	Golgi lumen	
Protein105	CHST2	UniProt:Q9Y4C5 CHST2	Reactome DB_ID: 1971546	Golgi membrane	
Protein106	CHST5	UniProt:Q9GZS9 CHST5	Reactome DB_ID: 1971539	Golgi membrane	
Protein107	CHST6	UniProt:Q9GZX3 CHST6	Reactome DB_ID: 1971537	Golgi membrane	
Protein109	ACAN	UniProt:P16112 ACAN	Reactome DB_ID: 2046200	Golgi lumen	
Protein11	HYAL2	UniProt:Q12891 HYAL2	Reactome DB_ID: 2160919	plasma membrane	
Protein110	FMOD	UniProt:Q06828 FMOD	Reactome DB_ID: 2046229	Golgi lumen	
Protein111	KERA	UniProt:O60938 KERA	Reactome DB_ID: 2046215	Golgi lumen	
Protein112	LUM	UniProt:P51884 LUM	Reactome DB_ID: 2046249	Golgi lumen	
Protein113	OGN	UniProt:P20774 OGN	Reactome DB_ID: 2046300	Golgi lumen	
Protein114	OMD	UniProt:Q99983 OMD	Reactome DB_ID: 2046188	Golgi lumen	
Protein115	PRELP	UniProt:P51888 PRELP	Reactome DB_ID: 2046160	Golgi lumen	
Protein116	CHST1	UniProt:O43916 CHST1	Reactome DB_ID: 1971540	Golgi membrane	
Protein118	ACAN	UniProt:P16112 ACAN	Reactome DB_ID: 2046287	extracellular region	
Protein119	FMOD	UniProt:Q06828 FMOD	Reactome DB_ID: 2046223	extracellular region	
Protein12	NHE1	UniProt:P19634 SLC9A1	Reactome DB_ID: 426006	plasma membrane	
Protein120	KERA	UniProt:O60938 KERA	Reactome DB_ID: 2046192	extracellular region	
Protein121	LUM	UniProt:P51884 LUM	Reactome DB_ID: 2046202	extracellular region	
Protein122	OGN	UniProt:P20774 OGN	Reactome DB_ID: 2046275	extracellular region	
Protein123	OMD	UniProt:Q99983 OMD	Reactome DB_ID: 2046148	extracellular region	
Protein124	PRELP	UniProt:P51888 PRELP	Reactome DB_ID: 2046162	extracellular region	
Protein126	ACAN	UniProt:P16112 ACAN	Reactome DB_ID: 2046195	lysosomal lumen	
Protein127	FMOD	UniProt:Q06828 FMOD	Reactome DB_ID: 2046247	lysosomal lumen	
Protein128	KERA	UniProt:O60938 KERA	Reactome DB_ID: 2046151	lysosomal lumen	
Protein129	LUM	UniProt:P51884 LUM	Reactome DB_ID: 2046283	lysosomal lumen	
Protein130	OGN	UniProt:P20774 OGN	Reactome DB_ID: 2046243	lysosomal lumen	
Protein131	OMD	UniProt:Q99983 OMD	Reactome DB_ID: 2046240	lysosomal lumen	
Protein132	PRELP	UniProt:P51888 PRELP	Reactome DB_ID: 2046286	lysosomal lumen	
Protein134	ACAN	UniProt:P16112 ACAN	Reactome DB_ID: 2105015	lysosomal lumen	
Protein135	FMOD	UniProt:Q06828 FMOD	Reactome DB_ID: 2105016	lysosomal lumen	
Protein136	KERA	UniProt:O60938 KERA	Reactome DB_ID: 2105019	lysosomal lumen	
Protein137	LUM	UniProt:P51884 LUM	Reactome DB_ID: 2104998	lysosomal lumen	
Protein138	OGN	UniProt:P20774 OGN	Reactome DB_ID: 2105000	lysosomal lumen	
Protein139	OMD	UniProt:Q99983 OMD	Reactome DB_ID: 2105004	lysosomal lumen	
Protein14	HYAL1	UniProt:Q12794 HYAL1	Reactome DB_ID: 1793221	lysosomal lumen	
Protein140	PRELP	UniProt:P51888 PRELP	Reactome DB_ID: 2105006	lysosomal lumen	
Protein142	GLB1	UniProt:P16278 GLB1	Reactome DB_ID: 1605623	lysosomal lumen	
Protein143	GLB1L	UniProt:Q6UWU2 GLB1L	Reactome DB_ID: 3229250	lysosomal lumen	
Protein144	GNS	UniProt:P15586 GNS	Reactome DB_ID: 1638063	lysosomal lumen	
Protein146	AGRN	UniProt:O00468 AGRN	Reactome DB_ID: 2054104	Golgi lumen	
Protein147	GPC1	UniProt:P35052 GPC1	Reactome DB_ID: 2054106	Golgi lumen	
Protein148	GPC2	UniProt:Q8N158 GPC2	Reactome DB_ID: 2054112	Golgi lumen	
