Complex1	Collagen alpha-1(VII) trimer	extracellular region	Reactome DB_ID: 2022124	Protein1	
Complex2	Collagen type VII hexamer	extracellular region	Reactome DB_ID: 2127449	Complex1	
Complex3	Collagen type VII -NC2 hexamer	extracellular region	Reactome DB_ID: 2214316	Complex4	
Complex4	Collagen type VII -NC2 trimer	extracellular region	Reactome DB_ID: 2214323	Protein27	
Complex5	Laminin-5	extracellular region	Reactome DB_ID: 216001	Protein44	
Complex5	Laminin-5	extracellular region	Reactome DB_ID: 216001	Protein45	
Complex5	Laminin-5	extracellular region	Reactome DB_ID: 216001	Protein46	
Complex6	Anchoring fibril complex	extracellular region	Reactome DB_ID: 2399659	PhysicalEntity2	
Complex6	Anchoring fibril complex	extracellular region	Reactome DB_ID: 2399659	Complex5	
Complex6	Anchoring fibril complex	extracellular region	Reactome DB_ID: 2399659	PhysicalEntity1	
Complex6	Anchoring fibril complex	extracellular region	Reactome DB_ID: 2399659	PhysicalEntity3	
