PhysicalEntity1	Collagen type VII fibril	extracellular region	Reactome DB_ID: 2214333	NA	
PhysicalEntity2	Collagen type I fibril	extracellular region	Reactome DB_ID: 1474201	NA	
PhysicalEntity3	Collagen type IV networks	extracellular region	Reactome DB_ID: 2564668	PhysicalEntity4	
PhysicalEntity3	Collagen type IV networks	extracellular region	Reactome DB_ID: 2564668	PhysicalEntity5	
PhysicalEntity3	Collagen type IV networks	extracellular region	Reactome DB_ID: 2564668	PhysicalEntity6	
PhysicalEntity3	Collagen type IV networks	extracellular region	Reactome DB_ID: 2564668	PhysicalEntity4	
PhysicalEntity3	Collagen type IV networks	extracellular region	Reactome DB_ID: 2564668	PhysicalEntity5	
PhysicalEntity3	Collagen type IV networks	extracellular region	Reactome DB_ID: 2564668	PhysicalEntity6	
PhysicalEntity4	Collagen type IV alpha1.alpha1.alpha2 network	extracellular region	Reactome DB_ID: 2214294	NA	
PhysicalEntity5	Collagen type IV alpha1.alpha2.alpha5.alpha6 network	extracellular region	Reactome DB_ID: 2564665	NA	
PhysicalEntity6	Collagen type IV alpha3.alpha4.alpha5 network	extracellular region	Reactome DB_ID: 2564669	NA	
Protein1	Collagen alpha-1(VII) chains	extracellular region	Reactome DB_ID: 2127505	Protein2	
Protein1	Collagen alpha-1(VII) chains	extracellular region	Reactome DB_ID: 2127505	Protein3	
Protein1	Collagen alpha-1(VII) chains	extracellular region	Reactome DB_ID: 2127505	Protein4	
Protein1	Collagen alpha-1(VII) chains	extracellular region	Reactome DB_ID: 2127505	Protein5	
Protein1	Collagen alpha-1(VII) chains	extracellular region	Reactome DB_ID: 2127505	Protein6	
Protein1	Collagen alpha-1(VII) chains	extracellular region	Reactome DB_ID: 2127505	Protein7	
Protein1	Collagen alpha-1(VII) chains	extracellular region	Reactome DB_ID: 2127505	Protein8	
Protein1	Collagen alpha-1(VII) chains	extracellular region	Reactome DB_ID: 2127505	Protein9	
Protein1	Collagen alpha-1(VII) chains	extracellular region	Reactome DB_ID: 2127505	Protein10	
Protein1	Collagen alpha-1(VII) chains	extracellular region	Reactome DB_ID: 2127505	Protein11	
Protein1	Collagen alpha-1(VII) chains	extracellular region	Reactome DB_ID: 2127505	Protein12	
Protein1	Collagen alpha-1(VII) chains	extracellular region	Reactome DB_ID: 2127505	Protein13	
Protein14	Collagen alpha-1(VII) NC2 region	extracellular region	Reactome DB_ID: 3605693	Protein15	
Protein14	Collagen alpha-1(VII) NC2 region	extracellular region	Reactome DB_ID: 3605693	Protein16	
Protein14	Collagen alpha-1(VII) NC2 region	extracellular region	Reactome DB_ID: 3605693	Protein17	
Protein14	Collagen alpha-1(VII) NC2 region	extracellular region	Reactome DB_ID: 3605693	Protein18	
Protein14	Collagen alpha-1(VII) NC2 region	extracellular region	Reactome DB_ID: 3605693	Protein19	
Protein14	Collagen alpha-1(VII) NC2 region	extracellular region	Reactome DB_ID: 3605693	Protein20	
Protein14	Collagen alpha-1(VII) NC2 region	extracellular region	Reactome DB_ID: 3605693	Protein21	
Protein14	Collagen alpha-1(VII) NC2 region	extracellular region	Reactome DB_ID: 3605693	Protein22	
Protein14	Collagen alpha-1(VII) NC2 region	extracellular region	Reactome DB_ID: 3605693	Protein23	
Protein14	Collagen alpha-1(VII) NC2 region	extracellular region	Reactome DB_ID: 3605693	Protein24	
Protein14	Collagen alpha-1(VII) NC2 region	extracellular region	Reactome DB_ID: 3605693	Protein25	
Protein14	Collagen alpha-1(VII) NC2 region	extracellular region	Reactome DB_ID: 3605693	Protein26	
Protein27	Collagen alpha-1(VII) -NC2 chains	extracellular region	Reactome DB_ID: 3605705	Protein28	
Protein27	Collagen alpha-1(VII) -NC2 chains	extracellular region	Reactome DB_ID: 3605705	Protein29	
Protein27	Collagen alpha-1(VII) -NC2 chains	extracellular region	Reactome DB_ID: 3605705	Protein30	
Protein27	Collagen alpha-1(VII) -NC2 chains	extracellular region	Reactome DB_ID: 3605705	Protein31	
Protein27	Collagen alpha-1(VII) -NC2 chains	extracellular region	Reactome DB_ID: 3605705	Protein32	
Protein27	Collagen alpha-1(VII) -NC2 chains	extracellular region	Reactome DB_ID: 3605705	Protein33	
Protein27	Collagen alpha-1(VII) -NC2 chains	extracellular region	Reactome DB_ID: 3605705	Protein34	
Protein27	Collagen alpha-1(VII) -NC2 chains	extracellular region	Reactome DB_ID: 3605705	Protein35	
Protein27	Collagen alpha-1(VII) -NC2 chains	extracellular region	Reactome DB_ID: 3605705	Protein36	
Protein27	Collagen alpha-1(VII) -NC2 chains	extracellular region	Reactome DB_ID: 3605705	Protein37	
Protein27	Collagen alpha-1(VII) -NC2 chains	extracellular region	Reactome DB_ID: 3605705	Protein38	
Protein27	Collagen alpha-1(VII) -NC2 chains	extracellular region	Reactome DB_ID: 3605705	Protein39	
Protein40	Collagen type VII NC2 proteinases	extracellular region	Reactome DB_ID: 2214322	Protein41	
Protein40	Collagen type VII NC2 proteinases	extracellular region	Reactome DB_ID: 2214322	Protein42	
Protein40	Collagen type VII NC2 proteinases	extracellular region	Reactome DB_ID: 2214322	Protein43	
