Pathway1	PathwayStep23	Cellular response to hypoxia	
Pathway2	PathwayStep22	Regulation of Hypoxia-inducible Factor (HIF) by Oxygen	
Pathway2	PathwayStep15	Regulation of Hypoxia-inducible Factor (HIF) by Oxygen	
Pathway2	PathwayStep2	Regulation of Hypoxia-inducible Factor (HIF) by Oxygen	
Pathway3	PathwayStep1	Oxygen-dependent Asparagine Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway4	PathwayStep11	Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway4	PathwayStep6	Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway4	PathwayStep5	Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway4	PathwayStep9	Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway4	PathwayStep13	Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway4	PathwayStep12	Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway4	PathwayStep8	Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway4	PathwayStep4	Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway4	PathwayStep3	Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway4	PathwayStep14	Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway4	PathwayStep7	Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway4	PathwayStep10	Oxygen-dependent Proline Hydroxylation of Hypoxia-inducible Factor Alpha	
Pathway5	PathwayStep18	Regulation of Gene Expression by Hypoxia-inducible Factor	
Pathway5	PathwayStep16	Regulation of Gene Expression by Hypoxia-inducible Factor	
Pathway5	PathwayStep20	Regulation of Gene Expression by Hypoxia-inducible Factor	
Pathway5	PathwayStep19	Regulation of Gene Expression by Hypoxia-inducible Factor	
Pathway5	PathwayStep21	Regulation of Gene Expression by Hypoxia-inducible Factor	
Pathway5	PathwayStep17	Regulation of Gene Expression by Hypoxia-inducible Factor	
