Complex1	FIH1:FIH1	cytosol	Reactome DB_ID: 1235007	Protein7	
Complex10	ub-hydroxyPro-HIF-alpha	cytosol	Reactome DB_ID: 1234113	Protein36	
Complex10	ub-hydroxyPro-HIF-alpha	cytosol	Reactome DB_ID: 1234113	Protein29	
Complex11	UBE2D1,2,3:Ubiquitin	nucleoplasm	Reactome DB_ID: 1234123	Protein55	
Complex11	UBE2D1,2,3:Ubiquitin	nucleoplasm	Reactome DB_ID: 1234123	Protein59	
Complex12	ub-HIF-alpha:VHL:EloB/C:CUL2:RBX1	nucleoplasm	Reactome DB_ID: 1234103	Complex5	
Complex12	ub-HIF-alpha:VHL:EloB/C:CUL2:RBX1	nucleoplasm	Reactome DB_ID: 1234103	Complex13	
Complex13	ub-HIF-alpha	nucleoplasm	Reactome DB_ID: 1234100	Protein35	
Complex13	ub-HIF-alpha	nucleoplasm	Reactome DB_ID: 1234100	Protein59	
Complex14	HIF	nucleoplasm	Reactome DB_ID: 1234130	Protein76	
Complex14	HIF	nucleoplasm	Reactome DB_ID: 1234130	Protein75	
Complex15	HIF:CBP:p300	nucleoplasm	Reactome DB_ID: 1234099	Protein77	
Complex15	HIF:CBP:p300	nucleoplasm	Reactome DB_ID: 1234099	Protein78	
Complex15	HIF:CBP:p300	nucleoplasm	Reactome DB_ID: 1234099	Complex14	
Complex15	HIF:CBP:p300	nucleoplasm	Reactome DB_ID: 1234099	PhysicalEntity1	
Complex2	RBX1-CUL2-EloB/C-VHL	cytosol	Reactome DB_ID: 976093	Protein24	
Complex2	RBX1-CUL2-EloB/C-VHL	cytosol	Reactome DB_ID: 976093	Protein25	
Complex2	RBX1-CUL2-EloB/C-VHL	cytosol	Reactome DB_ID: 976093	Complex3	
Complex3	VBC complex	cytosol	Reactome DB_ID: 390483	Protein26	
Complex3	VBC complex	cytosol	Reactome DB_ID: 390483	Protein27	
Complex3	VBC complex	cytosol	Reactome DB_ID: 390483	Protein28	
Complex4	hydroxyPro-HIF-alpha:VHL:EloB/C:CUL2:RBX1	cytosol	Reactome DB_ID: 1234125	Complex2	
Complex4	hydroxyPro-HIF-alpha:VHL:EloB/C:CUL2:RBX1	cytosol	Reactome DB_ID: 1234125	Protein29	
Complex5	VHL:EloB/C:CUL2:RBX1	nucleoplasm	Reactome DB_ID: 1234141	Complex6	
Complex5	VHL:EloB/C:CUL2:RBX1	nucleoplasm	Reactome DB_ID: 1234141	Protein33	
Complex5	VHL:EloB/C:CUL2:RBX1	nucleoplasm	Reactome DB_ID: 1234141	Protein34	
Complex6	VBC Complex	nucleoplasm	Reactome DB_ID: 1234128	Protein30	
Complex6	VBC Complex	nucleoplasm	Reactome DB_ID: 1234128	Protein31	
Complex6	VBC Complex	nucleoplasm	Reactome DB_ID: 1234128	Protein32	
Complex7	hydroxyPro-HIF-alpha:VHL:EloB/C:CUL2:RBX1	nucleoplasm	Reactome DB_ID: 1234101	Protein35	
Complex7	hydroxyPro-HIF-alpha:VHL:EloB/C:CUL2:RBX1	nucleoplasm	Reactome DB_ID: 1234101	Complex5	
Complex8	UBE2D1,2,3:Ubiquitin	cytosol	Reactome DB_ID: 1234116	Protein36	
Complex8	UBE2D1,2,3:Ubiquitin	cytosol	Reactome DB_ID: 1234116	Protein51	
Complex9	ub-hydroxyPro-HIF-alpha:VHL:EloB/C:CUL2:RBX1	cytosol	Reactome DB_ID: 1234138	Complex2	
Complex9	ub-hydroxyPro-HIF-alpha:VHL:EloB/C:CUL2:RBX1	cytosol	Reactome DB_ID: 1234138	Complex10	
