PhysicalEntity1	Photon	extracellular region	Reactome DB_ID: 419777	NA	
Protein10	RDH10/11	endoplasmic reticulum membrane	Reactome DB_ID: 2454066	Protein11	
Protein10	RDH10/11	endoplasmic reticulum membrane	Reactome DB_ID: 2454066	Protein12	
Protein13	RDH5(1-318)-like Proteins	endoplasmic reticulum membrane	Reactome DB_ID: 4084692	Protein14	
Protein13	RDH5(1-318)-like Proteins	endoplasmic reticulum membrane	Reactome DB_ID: 4084692	Protein15	
Protein13	RDH5(1-318)-like Proteins	endoplasmic reticulum membrane	Reactome DB_ID: 4084692	Protein16	
Protein13	RDH5(1-318)-like Proteins	endoplasmic reticulum membrane	Reactome DB_ID: 4084692	Protein17	
Protein13	RDH5(1-318)-like Proteins	endoplasmic reticulum membrane	Reactome DB_ID: 4084692	Protein18	
Protein23	RDH8-like proteins	photoreceptor outer segment membrane	Reactome DB_ID: 4127419	Protein24	
Protein23	RDH8-like proteins	photoreceptor outer segment membrane	Reactome DB_ID: 4127419	Protein25	
SmallMolecule15	FAs	lipid particle	Reactome DB_ID: 2864103	SmallMolecule16	
SmallMolecule15	FAs	lipid particle	Reactome DB_ID: 2864103	SmallMolecule17	
SmallMolecule15	FAs	lipid particle	Reactome DB_ID: 2864103	SmallMolecule18	
SmallMolecule15	FAs	lipid particle	Reactome DB_ID: 2864103	SmallMolecule19	
SmallMolecule3	FACYLs	plasma membrane	Reactome DB_ID: 2859065	SmallMolecule4	
SmallMolecule3	FACYLs	plasma membrane	Reactome DB_ID: 2859065	SmallMolecule5	
SmallMolecule3	FACYLs	plasma membrane	Reactome DB_ID: 2859065	SmallMolecule6	
SmallMolecule3	FACYLs	plasma membrane	Reactome DB_ID: 2859065	SmallMolecule7	
SmallMolecule8	atREs	lipid particle	Reactome DB_ID: 2864099	SmallMolecule9	
SmallMolecule8	atREs	lipid particle	Reactome DB_ID: 2864099	SmallMolecule10	
SmallMolecule8	atREs	lipid particle	Reactome DB_ID: 2864099	SmallMolecule11	
SmallMolecule8	atREs	lipid particle	Reactome DB_ID: 2864099	SmallMolecule12	
