PhysicalEntity1	Sister Centromere	chromosome, centromeric region	Reactome DB_ID: 1638792	NA	
PhysicalEntity2	Dynein	cytosol	Reactome DB_ID: 377734	NA	
PhysicalEntity3	microtubule	cytosol	Reactome DB_ID: 190599	NA	
Protein135	PP2A-catalytic subunit C	cytosol	Reactome DB_ID: 165977	Protein136	
Protein135	PP2A-catalytic subunit C	cytosol	Reactome DB_ID: 165977	Protein137	
Protein138	PP2A-subunit A	cytosol	Reactome DB_ID: 165990	Protein139	
Protein138	PP2A-subunit A	cytosol	Reactome DB_ID: 165990	Protein140	
Protein141	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein142	
Protein141	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein143	
Protein141	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein144	
Protein141	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein145	
Protein141	PP2A regulatory subunit B56	cytosol	Reactome DB_ID: 196216	Protein146	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein18	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein19	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein20	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein21	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein22	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein23	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein24	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein25	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein26	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein27	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein28	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein29	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein30	
Protein17	Ub	cytosol	Reactome DB_ID: 113595	Protein31	
Protein184	PDS5	cytosol	Reactome DB_ID: 2484796	Protein185	
Protein184	PDS5	cytosol	Reactome DB_ID: 2484796	Protein186	
Protein197	HDAC8	cytosol	Reactome DB_ID: 2545205	Protein198	
Protein197	HDAC8	cytosol	Reactome DB_ID: 2545205	Protein199	
Protein197	HDAC8	cytosol	Reactome DB_ID: 2545205	Protein200	
Protein83	PDS5	chromosome, centromeric region	Reactome DB_ID: 2468261	Protein84	
Protein83	PDS5	chromosome, centromeric region	Reactome DB_ID: 2468261	Protein85	
