BiochemicalReaction1	NPC1L1-mediated cholesterol uptake	SmallMolecule1	SmallMolecule2	
BiochemicalReaction2	NPC1L1-mediated phytosterol uptake	SmallMolecule3	SmallMolecule4	
BiochemicalReaction3	NPC1L1 inactivation by ezetimibe	Protein1	Complex1	
BiochemicalReaction3	NPC1L1 inactivation by ezetimibe	SmallMolecule5	Complex1	
BiochemicalReaction4	ABCG5:ABCG8-mediated export of cholesterol and phytosterols	SmallMolecule7	SmallMolecule10	
BiochemicalReaction4	ABCG5:ABCG8-mediated export of cholesterol and phytosterols	SmallMolecule8	SmallMolecule10	
BiochemicalReaction4	ABCG5:ABCG8-mediated export of cholesterol and phytosterols	SmallMolecule9	SmallMolecule10	
BiochemicalReaction4	ABCG5:ABCG8-mediated export of cholesterol and phytosterols	SmallMolecule9	SmallMolecule11	
BiochemicalReaction4	ABCG5:ABCG8-mediated export of cholesterol and phytosterols	SmallMolecule8	SmallMolecule11	
BiochemicalReaction4	ABCG5:ABCG8-mediated export of cholesterol and phytosterols	SmallMolecule7	SmallMolecule11	
BiochemicalReaction4	ABCG5:ABCG8-mediated export of cholesterol and phytosterols	SmallMolecule9	SmallMolecule12	
BiochemicalReaction4	ABCG5:ABCG8-mediated export of cholesterol and phytosterols	SmallMolecule8	SmallMolecule12	
BiochemicalReaction4	ABCG5:ABCG8-mediated export of cholesterol and phytosterols	SmallMolecule7	SmallMolecule12	
