Complex1	p-T333-NEK9	cytosol	Reactome DB_ID: 2984219	Protein1	
Complex10	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein20	
Complex10	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein21	
Complex10	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein22	
Complex10	Nup62 Complex	nuclear envelope	Reactome DB_ID: 157712	Protein23	
Complex11	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein24	
Complex11	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein25	
Complex11	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein26	
Complex11	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein27	
Complex11	Nup107 Complex	nuclear envelope	Reactome DB_ID: 157700	Protein28	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein14	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein15	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein16	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein17	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein18	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein19	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Complex10	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Complex11	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein29	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein30	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein34	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein35	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein36	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein37	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein38	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein45	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein39	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein40	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein41	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein42	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein43	
Complex12	Nuclear Pore Complex (p-2S,3T-NUP98)	nuclear envelope	Reactome DB_ID: 2990903	Protein44	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein14	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein15	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein16	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein17	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein18	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein19	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Complex10	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Complex11	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein29	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein30	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein34	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein35	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein36	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein37	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein38	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein39	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein40	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein41	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein42	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein43	
Complex13	Partially Disassembled NPC	nuclear envelope	Reactome DB_ID: 2990888	Protein44	
Complex14	EMD/TMPO/LEMD3/LEMD2:Lamin dimers:BANF1:Chromatin	nuclear envelope	Reactome DB_ID: 2993900	Complex15	
Complex14	EMD/TMPO/LEMD3/LEMD2:Lamin dimers:BANF1:Chromatin	nuclear envelope	Reactome DB_ID: 2993900	PhysicalEntity1	
Complex14	EMD/TMPO/LEMD3/LEMD2:Lamin dimers:BANF1:Chromatin	nuclear envelope	Reactome DB_ID: 2993900	Complex18	
Complex14	EMD/TMPO/LEMD3/LEMD2:Lamin dimers:BANF1:Chromatin	nuclear envelope	Reactome DB_ID: 2993900	Protein58	
Complex16	LMNA-1:LMNA-2	nucleoplasm	Reactome DB_ID: 2993891	Protein54	
Complex16	LMNA-1:LMNA-2	nucleoplasm	Reactome DB_ID: 2993891	Protein55	
Complex17	LMNAB1	nucleoplasm	Reactome DB_ID: 2993894	Protein56	
Complex18	BANF1	nucleoplasm	Reactome DB_ID: 2993914	Protein57	
Complex19	p-T2,T3,S4-BANF1	nucleoplasm	Reactome DB_ID: 2993912	Protein63	
Complex2	p-3S,T-NEK9	cytosol	Reactome DB_ID: 2984215	Protein2	
Complex20	EMD/TMPO/LEMD3/LEMD2:Lamin dimers	nuclear envelope	Reactome DB_ID: 2993911	Complex15	
Complex20	EMD/TMPO/LEMD3/LEMD2:Lamin dimers	nuclear envelope	Reactome DB_ID: 2993911	Protein58	
Complex4	CCNB1:p-T161-CDK1	cytosol	Reactome DB_ID: 157456	Protein3	
Complex4	CCNB1:p-T161-CDK1	cytosol	Reactome DB_ID: 157456	Protein4	
Complex5	CCNB2:p-T161-CDK1	cytosol	Reactome DB_ID: 68898	Protein5	
Complex5	CCNB2:p-T161-CDK1	cytosol	Reactome DB_ID: 68898	Protein3	
Complex6	p-3S,2T-NEK9	cytosol	Reactome DB_ID: 2984227	Protein6	
Complex7	p-3S,2T-NEK9:NEK6/NEK7	cytosol	Reactome DB_ID: 2980721	Protein8	
Complex7	p-3S,2T-NEK9:NEK6/NEK7	cytosol	Reactome DB_ID: 2980721	Complex6	
Complex8	p-3S,2T-NEK9: p-S206-NEK6/ p-S195-NEK7	cytosol	Reactome DB_ID: 2984255	Protein11	
Complex8	p-3S,2T-NEK9: p-S206-NEK6/ p-S195-NEK7	cytosol	Reactome DB_ID: 2984255	Complex6	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein14	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein15	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein16	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein17	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein18	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein19	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Complex10	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Complex11	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein29	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein30	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein31	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein34	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein35	
Complex9	Nuclear Pore Complex (NPC)	nuclear envelope	Reactome DB_ID: 157689	Protein36	
