Pathway1	PathwayStep13	SUMOylation	
Pathway2	PathwayStep4	Processing and Activation of SUMO	
Pathway2	PathwayStep12	Processing and Activation of SUMO	
Pathway2	PathwayStep8	Processing and Activation of SUMO	
Pathway3	PathwayStep2	Proteolytic Processing of SUMO	
Pathway3	PathwayStep1	Proteolytic Processing of SUMO	
Pathway3	PathwayStep3	Proteolytic Processing of SUMO	
Pathway4	PathwayStep5	Conjugation of SUMO to E1 (UBA2:SAE1)	
Pathway4	PathwayStep7	Conjugation of SUMO to E1 (UBA2:SAE1)	
Pathway4	PathwayStep6	Conjugation of SUMO to E1 (UBA2:SAE1)	
Pathway5	PathwayStep11	Transfer of SUMO from E1 to E2 (UBE2I, UBC9)	
Pathway5	PathwayStep9	Transfer of SUMO from E1 to E2 (UBE2I, UBC9)	
Pathway5	PathwayStep10	Transfer of SUMO from E1 to E2 (UBE2I, UBC9)	
