Complex1	Transthyretin tetramer	extracellular region	Reactome DB_ID: 2426300	Protein3	
Complex10	Laminin-4	extracellular region	Reactome DB_ID: 2328137	Protein6	
Complex10	Laminin-4	extracellular region	Reactome DB_ID: 2328137	Protein13	
Complex10	Laminin-4	extracellular region	Reactome DB_ID: 2328137	Protein7	
Complex11	Laminin-6	extracellular region	Reactome DB_ID: 2328111	Protein10	
Complex11	Laminin-6	extracellular region	Reactome DB_ID: 2328111	Protein6	
Complex11	Laminin-6	extracellular region	Reactome DB_ID: 2328111	Protein8	
Complex12	Laminin-7	extracellular region	Reactome DB_ID: 2328135	Protein10	
Complex12	Laminin-7	extracellular region	Reactome DB_ID: 2328135	Protein6	
Complex12	Laminin-7	extracellular region	Reactome DB_ID: 2328135	Protein13	
Complex13	Laminin-8	extracellular region	Reactome DB_ID: 2328173	Protein6	
Complex13	Laminin-8	extracellular region	Reactome DB_ID: 2328173	Protein14	
Complex13	Laminin-8	extracellular region	Reactome DB_ID: 2328173	Protein8	
Complex14	Laminin-9	extracellular region	Reactome DB_ID: 2328112	Protein6	
Complex14	Laminin-9	extracellular region	Reactome DB_ID: 2328112	Protein13	
Complex14	Laminin-9	extracellular region	Reactome DB_ID: 2328112	Protein14	
Complex15	Laminin-10	extracellular region	Reactome DB_ID: 2328098	Protein6	
Complex15	Laminin-10	extracellular region	Reactome DB_ID: 2328098	Protein15	
Complex15	Laminin-10	extracellular region	Reactome DB_ID: 2328098	Protein8	
Complex16	Laminin-11	extracellular region	Reactome DB_ID: 2328168	Protein6	
Complex16	Laminin-11	extracellular region	Reactome DB_ID: 2328168	Protein13	
Complex16	Laminin-11	extracellular region	Reactome DB_ID: 2328168	Protein15	
Complex17	Laminin-12	extracellular region	Reactome DB_ID: 2328165	Protein7	
Complex17	Laminin-12	extracellular region	Reactome DB_ID: 2328165	Protein16	
Complex17	Laminin-12	extracellular region	Reactome DB_ID: 2328165	Protein8	
Complex18	Laminin-14	extracellular region	Reactome DB_ID: 2328176	Protein13	
Complex18	Laminin-14	extracellular region	Reactome DB_ID: 2328176	Protein16	
Complex18	Laminin-14	extracellular region	Reactome DB_ID: 2328176	Protein14	
Complex19	Laminin-522	extracellular region	Reactome DB_ID: 2328153	Protein13	
Complex19	Laminin-522	extracellular region	Reactome DB_ID: 2328153	Protein11	
Complex19	Laminin-522	extracellular region	Reactome DB_ID: 2328153	Protein15	
Complex2	PDGFA homodimer	extracellular region	Reactome DB_ID: 2426269	Protein4	
Complex20	Dystroglycan	plasma membrane	Reactome DB_ID: 2328140	Protein18	
Complex20	Dystroglycan	plasma membrane	Reactome DB_ID: 2328140	Protein19	
Complex21	Dystroglycan:Dystrophin:Laminins	plasma membrane	Reactome DB_ID: 2396153	Complex5	
Complex21	Dystroglycan:Dystrophin:Laminins	plasma membrane	Reactome DB_ID: 2396153	Protein17	
Complex21	Dystroglycan:Dystrophin:Laminins	plasma membrane	Reactome DB_ID: 2396153	Complex20	
Complex22	Dystroglycan:AGRN:HSPG2	plasma membrane	Reactome DB_ID: 2426244	Protein20	
Complex22	Dystroglycan:AGRN:HSPG2	plasma membrane	Reactome DB_ID: 2426244	Complex20	
Complex23	Dystroglycan:NRXN1	plasma membrane	Reactome DB_ID: 2426312	Protein22	
Complex23	Dystroglycan:NRXN1	plasma membrane	Reactome DB_ID: 2426312	Complex20	
Complex25	NTN4:Laminins with gamma-1, gamma-3	plasma membrane	Reactome DB_ID: 2426487	Complex24	
Complex25	NTN4:Laminins with gamma-1, gamma-3	plasma membrane	Reactome DB_ID: 2426487	Protein23	
Complex26	DDR1 dimer	plasma membrane	Reactome DB_ID: 2327930	Protein24	
Complex27	DDR1 dimer:Collagen type I, II, III, IV, V, XI fibrils	plasma membrane	Reactome DB_ID: 2465848	Complex26	
Complex27	DDR1 dimer:Collagen type I, II, III, IV, V, XI fibrils	plasma membrane	Reactome DB_ID: 2465848	PhysicalEntity3	
Complex28	DDR2 dimer	plasma membrane	Reactome DB_ID: 2327882	Protein25	
Complex29	DDR2 dimer:Collagen type I, II, III, V, X fibrils	plasma membrane	Reactome DB_ID: 2465856	Complex28	
Complex29	DDR2 dimer:Collagen type I, II, III, V, X fibrils	plasma membrane	Reactome DB_ID: 2465856	PhysicalEntity13	
Complex3	PDGFB homodimer	extracellular region	Reactome DB_ID: 2426276	Protein5	
Complex30	Integrin alphaVbeta3	plasma membrane	Reactome DB_ID: 210216	Protein26	
Complex30	Integrin alphaVbeta3	plasma membrane	Reactome DB_ID: 210216	Protein27	
Complex31	Syndecan-1:Integrin alphaVbeta3	plasma membrane	Reactome DB_ID: 2731073	Complex30	
Complex31	Syndecan-1:Integrin alphaVbeta3	plasma membrane	Reactome DB_ID: 2731073	Protein28	
Complex32	Integrin alphaVbeta5	plasma membrane	Reactome DB_ID: 1299497	Protein35	
Complex32	Integrin alphaVbeta5	plasma membrane	Reactome DB_ID: 1299497	Protein27	
Complex33	Syndecan-1:Integrin alphaVbeta5	plasma membrane	Reactome DB_ID: 2731079	Complex32	
Complex33	Syndecan-1:Integrin alphaVbeta5	plasma membrane	Reactome DB_ID: 2731079	Protein28	
Complex35	Integrin alpha2beta1	plasma membrane	Reactome DB_ID: 114561	Protein36	
Complex35	Integrin alpha2beta1	plasma membrane	Reactome DB_ID: 114561	Protein37	
Complex36	Integrin alpha6beta4	plasma membrane	Reactome DB_ID: 215997	Protein38	
Complex36	Integrin alpha6beta4	plasma membrane	Reactome DB_ID: 215997	Protein39	
Complex37	Syndecan-1:Integrin alpha2beta1 (alpha6beta4)	plasma membrane	Reactome DB_ID: 2731084	Complex34	
Complex37	Syndecan-1:Integrin alpha2beta1 (alpha6beta4)	plasma membrane	Reactome DB_ID: 2731084	Protein28	
Complex38	Syndecan-1:THBS1	plasma membrane	Reactome DB_ID: 2731077	Protein40	
Complex38	Syndecan-1:THBS1	plasma membrane	Reactome DB_ID: 2731077	Protein28	
Complex39	Syndecan-1:Collagen types I, III, V	plasma membrane	Reactome DB_ID: 2731134	PhysicalEntity15	
Complex39	Syndecan-1:Collagen types I, III, V	plasma membrane	Reactome DB_ID: 2731134	Protein28	
Complex4	HSPG2:FGF2(10-155), Fibronectn matrix, Transthyretin tetramer, PDGFA homodimer, PDGFB homodimer	extracellular region	Reactome DB_ID: 2426668	Protein1	
Complex4	HSPG2:FGF2(10-155), Fibronectn matrix, Transthyretin tetramer, PDGFA homodimer, PDGFB homodimer	extracellular region	Reactome DB_ID: 2426668	PhysicalEntity1	
Complex40	Syndecan-1:Fibronectin matrix	plasma membrane	Reactome DB_ID: 2731114	PhysicalEntity2	
Complex40	Syndecan-1:Fibronectin matrix	plasma membrane	Reactome DB_ID: 2731114	Protein28	
Complex41	Syndecan-2:CASK	plasma membrane	Reactome DB_ID: 2750169	Protein41	
Complex41	Syndecan-2:CASK	plasma membrane	Reactome DB_ID: 2750169	Protein48	
Complex42	Syndecan-2:TRAPPC4	plasma membrane	Reactome DB_ID: 2750174	Protein49	
Complex42	Syndecan-2:TRAPPC4	plasma membrane	Reactome DB_ID: 2750174	Protein41	
Complex43	Syndecan-4:ACTN1	plasma membrane	Reactome DB_ID: 2750171	Protein50	
Complex43	Syndecan-4:ACTN1	plasma membrane	Reactome DB_ID: 2750171	Protein57	
Complex44	Syndecan-4:PI(4,5)P2	plasma membrane	Reactome DB_ID: 2731080	SmallMolecule1	
Complex44	Syndecan-4:PI(4,5)P2	plasma membrane	Reactome DB_ID: 2731080	Protein50	
