Complex1	STING:STING	cytoplasmic vesicle membrane	Reactome DB_ID: 3134799	Protein2	
Complex2	STING:TBK1:STAT6	cytoplasmic vesicle membrane	Reactome DB_ID: 3249399	Protein1	
Complex2	STING:TBK1:STAT6	cytoplasmic vesicle membrane	Reactome DB_ID: 3249399	Protein3	
Complex2	STING:TBK1:STAT6	cytoplasmic vesicle membrane	Reactome DB_ID: 3249399	Complex1	
Complex3	STING:p-S172-TBK1:STAT6	cytoplasmic vesicle membrane	Reactome DB_ID: 3249391	Protein4	
Complex3	STING:p-S172-TBK1:STAT6	cytoplasmic vesicle membrane	Reactome DB_ID: 3249391	Complex1	
Complex3	STING:p-S172-TBK1:STAT6	cytoplasmic vesicle membrane	Reactome DB_ID: 3249391	Protein3	
Complex4	STING:p-S172-TBK1	cytoplasmic vesicle membrane	Reactome DB_ID: 2396005	Protein4	
Complex4	STING:p-S172-TBK1	cytoplasmic vesicle membrane	Reactome DB_ID: 2396005	Complex1	
Complex5	p-S407,Y641-STAT6 dimer	cytosol	Reactome DB_ID: 3249385	Protein6	
Complex6	p-S407,Y641-STAT6 dimer	nucleoplasm	Reactome DB_ID: 3261240	Protein7	
