BiochemicalReaction1	SLC16A10-mediated uptake of aromatic amino acids	SmallMolecule1	SmallMolecule5	
BiochemicalReaction10	SLC6A15-mediated amino acid uptake	SmallMolecule65	SmallMolecule68	
BiochemicalReaction10	SLC6A15-mediated amino acid uptake	SmallMolecule15	SmallMolecule68	
BiochemicalReaction10	SLC6A15-mediated amino acid uptake	SmallMolecule15	SmallMolecule16	
BiochemicalReaction10	SLC6A15-mediated amino acid uptake	SmallMolecule65	SmallMolecule16	
BiochemicalReaction11	SLC6A18-mediated glycine uptake	SmallMolecule24	SmallMolecule29	
BiochemicalReaction12	SLC6A20-mediated uptake of proline	SmallMolecule26	SmallMolecule16	
BiochemicalReaction12	SLC6A20-mediated uptake of proline	SmallMolecule15	SmallMolecule16	
BiochemicalReaction12	SLC6A20-mediated uptake of proline	SmallMolecule15	SmallMolecule31	
BiochemicalReaction12	SLC6A20-mediated uptake of proline	SmallMolecule26	SmallMolecule31	
BiochemicalReaction13	SLC6A6-mediated uptake of taurine and beta-alanine	SmallMolecule58	SmallMolecule16	
BiochemicalReaction13	SLC6A6-mediated uptake of taurine and beta-alanine	SmallMolecule71	SmallMolecule16	
BiochemicalReaction13	SLC6A6-mediated uptake of taurine and beta-alanine	SmallMolecule15	SmallMolecule16	
BiochemicalReaction13	SLC6A6-mediated uptake of taurine and beta-alanine	SmallMolecule15	SmallMolecule64	
BiochemicalReaction13	SLC6A6-mediated uptake of taurine and beta-alanine	SmallMolecule71	SmallMolecule64	
BiochemicalReaction13	SLC6A6-mediated uptake of taurine and beta-alanine	SmallMolecule58	SmallMolecule64	
BiochemicalReaction13	SLC6A6-mediated uptake of taurine and beta-alanine	SmallMolecule15	SmallMolecule73	
BiochemicalReaction13	SLC6A6-mediated uptake of taurine and beta-alanine	SmallMolecule71	SmallMolecule73	
BiochemicalReaction13	SLC6A6-mediated uptake of taurine and beta-alanine	SmallMolecule58	SmallMolecule73	
BiochemicalReaction14	SLC7A5-mediated uptake of neutral amino acids	SmallMolecule75	SmallMolecule76	
BiochemicalReaction15	SLC7A8-mediated uptake of neutral amino acids	SmallMolecule77	SmallMolecule78	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule10	SmallMolecule80	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule16	SmallMolecule80	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule15	SmallMolecule80	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule79	SmallMolecule80	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule79	SmallMolecule16	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule15	SmallMolecule16	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule16	SmallMolecule16	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule10	SmallMolecule16	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule79	SmallMolecule15	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule15	SmallMolecule15	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule16	SmallMolecule15	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule10	SmallMolecule15	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule79	SmallMolecule18	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule15	SmallMolecule18	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule16	SmallMolecule18	
BiochemicalReaction16	SLC1A4-mediated exchange of extracellular alanine for cytosolic serine, threonine, or cysteine	SmallMolecule10	SmallMolecule18	
BiochemicalReaction17	SLC1A4-mediated exchange of extracellular cysteine for cytosolic alanine, serine, or threonine	SmallMolecule16	SmallMolecule80	
BiochemicalReaction17	SLC1A4-mediated exchange of extracellular cysteine for cytosolic alanine, serine, or threonine	SmallMolecule66	SmallMolecule80	
BiochemicalReaction17	SLC1A4-mediated exchange of extracellular cysteine for cytosolic alanine, serine, or threonine	SmallMolecule15	SmallMolecule80	
BiochemicalReaction17	SLC1A4-mediated exchange of extracellular cysteine for cytosolic alanine, serine, or threonine	SmallMolecule79	SmallMolecule80	
BiochemicalReaction17	SLC1A4-mediated exchange of extracellular cysteine for cytosolic alanine, serine, or threonine	SmallMolecule79	SmallMolecule16	
BiochemicalReaction17	SLC1A4-mediated exchange of extracellular cysteine for cytosolic alanine, serine, or threonine	SmallMolecule15	SmallMolecule16	
BiochemicalReaction17	SLC1A4-mediated exchange of extracellular cysteine for cytosolic alanine, serine, or threonine	SmallMolecule66	SmallMolecule16	
BiochemicalReaction17	SLC1A4-mediated exchange of extracellular cysteine for cytosolic alanine, serine, or threonine	SmallMolecule16	SmallMolecule16	
BiochemicalReaction17	SLC1A4-mediated exchange of extracellular cysteine for cytosolic alanine, serine, or threonine	SmallMolecule79	SmallMolecule69	
BiochemicalReaction17	SLC1A4-mediated exchange of extracellular cysteine for cytosolic alanine, serine, or threonine	SmallMolecule15	SmallMolecule69	
BiochemicalReaction17	SLC1A4-mediated exchange of extracellular cysteine for cytosolic alanine, serine, or threonine	SmallMolecule66	SmallMolecule69	
