PhysicalEntity1	Podocin oligomer	plasma membrane	Reactome DB_ID: 451771	NA	
PhysicalEntity2	adherens junction-associated proteins	cytosol	Reactome DB_ID: 451386	Protein21	
PhysicalEntity2	adherens junction-associated proteins	cytosol	Reactome DB_ID: 451386	Protein22	
PhysicalEntity2	adherens junction-associated proteins	cytosol	Reactome DB_ID: 451386	Protein27	
PhysicalEntity2	adherens junction-associated proteins	cytosol	Reactome DB_ID: 451386	Protein28	
PhysicalEntity2	adherens junction-associated proteins	cytosol	Reactome DB_ID: 451386	Protein21	
PhysicalEntity2	adherens junction-associated proteins	cytosol	Reactome DB_ID: 451386	Protein22	
PhysicalEntity2	adherens junction-associated proteins	cytosol	Reactome DB_ID: 451386	Protein27	
PhysicalEntity2	adherens junction-associated proteins	cytosol	Reactome DB_ID: 451386	Protein28	
Protein13	PI3K-catalytic subunit	cytosol	Reactome DB_ID: 74689	Protein14	
Protein13	PI3K-catalytic subunit	cytosol	Reactome DB_ID: 74689	Protein15	
Protein16	PI3K-regulatory subunit	cytosol	Reactome DB_ID: 74688	Protein17	
Protein16	PI3K-regulatory subunit	cytosol	Reactome DB_ID: 74688	Protein18	
Protein22	Alpha-actinin	cytosol	Reactome DB_ID: 451402	Protein23	
Protein22	Alpha-actinin	cytosol	Reactome DB_ID: 451402	Protein24	
Protein22	Alpha-actinin	cytosol	Reactome DB_ID: 451402	Protein25	
Protein22	Alpha-actinin	cytosol	Reactome DB_ID: 451402	Protein26	
Protein3	NEPH2/NEPH3	plasma membrane	Reactome DB_ID: 936056	Protein4	
Protein3	NEPH2/NEPH3	plasma membrane	Reactome DB_ID: 936056	Protein5	
Protein8	NCK	cytosol	Reactome DB_ID: 381949	Protein9	
Protein8	NCK	cytosol	Reactome DB_ID: 381949	Protein10	
