Complex1	DSCAM/DSCAML1 homodimers	plasma membrane	Reactome DB_ID: 376016	Protein1	
Complex2	DSCAM:DCC	plasma membrane	Reactome DB_ID: 451355	Protein2	
Complex2	DSCAM:DCC	plasma membrane	Reactome DB_ID: 451355	Protein4	
Complex3	DSCAM:netrin	plasma membrane	Reactome DB_ID: 376019	Protein2	
Complex3	DSCAM:netrin	plasma membrane	Reactome DB_ID: 376019	Protein5	
Complex4	pPAK(S144):Rac1-GTP	cytosol	Reactome DB_ID: 451352	Protein6	
Complex4	pPAK(S144):Rac1-GTP	cytosol	Reactome DB_ID: 451352	Complex5	
Complex5	RAC1-GTP	cytosol	Reactome DB_ID: 442641	SmallMolecule1	
Complex5	RAC1-GTP	cytosol	Reactome DB_ID: 442641	Protein7	
Complex6	DSCAM:pPAK(S144):Rac1-GTP	plasma membrane	Reactome DB_ID: 376009	Protein2	
Complex6	DSCAM:pPAK(S144):Rac1-GTP	plasma membrane	Reactome DB_ID: 376009	Complex4	
Complex7	MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 189828	Protein10	
Complex7	MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 189828	SmallMolecule4	
Complex8	Phospho-MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 170993	Protein15	
Complex8	Phospho-MAP kinase p38 (Mg2+ cofactor)	cytosol	Reactome DB_ID: 170993	SmallMolecule4	
