PhysicalEntity1	Unidentified protease	cytosol	Reactome DB_ID: 428470	NA	
Protein13	Profilin	cytosol	Reactome DB_ID: 203077	Protein14	
Protein13	Profilin	cytosol	Reactome DB_ID: 203077	Protein15	
Protein16	SrGAP	cytosol	Reactome DB_ID: 428474	Protein17	
Protein16	SrGAP	cytosol	Reactome DB_ID: 428474	Protein18	
Protein16	SrGAP	cytosol	Reactome DB_ID: 428474	Protein19	
Protein23	NCK	cytosol	Reactome DB_ID: 381949	Protein24	
Protein23	NCK	cytosol	Reactome DB_ID: 381949	Protein25	
Protein26	PAK	cytosol	Reactome DB_ID: 428475	Protein27	
Protein26	PAK	cytosol	Reactome DB_ID: 428475	Protein28	
Protein26	PAK	cytosol	Reactome DB_ID: 428475	Protein29	
Protein26	PAK	cytosol	Reactome DB_ID: 428475	Protein30	
Protein26	PAK	cytosol	Reactome DB_ID: 428475	Protein31	
Protein26	PAK	cytosol	Reactome DB_ID: 428475	Protein32	
Protein33	SOS	cytosol	Reactome DB_ID: 167215	Protein34	
Protein33	SOS	cytosol	Reactome DB_ID: 167215	Protein35	
Protein36	Abl tyrosine kinases	cytosol	Reactome DB_ID: 376002	Protein37	
Protein36	Abl tyrosine kinases	cytosol	Reactome DB_ID: 376002	Protein38	
Protein40	CLASP	cytosol	Reactome DB_ID: 428867	Protein41	
Protein40	CLASP	cytosol	Reactome DB_ID: 428867	Protein42	
Protein43	CAP	cytosol	Reactome DB_ID: 428868	Protein44	
Protein43	CAP	cytosol	Reactome DB_ID: 428868	Protein45	
Protein5	Robo1/ Robo2	plasma membrane	Reactome DB_ID: 428477	Protein6	
Protein5	Robo1/ Robo2	plasma membrane	Reactome DB_ID: 428477	Protein7	
Protein9	Ena/Vasp proteins	cytosol	Reactome DB_ID: 428478	Protein10	
Protein9	Ena/Vasp proteins	cytosol	Reactome DB_ID: 428478	Protein11	
Protein9	Ena/Vasp proteins	cytosol	Reactome DB_ID: 428478	Protein12	
