Catalysis1	Complex3	BiochemicalReaction3	ACTIVATION	
TemplateReactionRegulation1	Protein5	TemplateReaction1	ACTIVATION	
TemplateReactionRegulation10	Complex5	TemplateReaction8	INHIBITION	
TemplateReactionRegulation11	Protein6	TemplateReaction8	ACTIVATION	
TemplateReactionRegulation2	Protein6	TemplateReaction2	ACTIVATION	
TemplateReactionRegulation3	Protein6	TemplateReaction3	ACTIVATION	
TemplateReactionRegulation4	Protein6	TemplateReaction4	ACTIVATION	
TemplateReactionRegulation5	Complex4	TemplateReaction5	ACTIVATION	
TemplateReactionRegulation6	Protein6	TemplateReaction5	ACTIVATION	
TemplateReactionRegulation7	Protein14	TemplateReaction5	ACTIVATION	
TemplateReactionRegulation8	Protein6	TemplateReaction6	ACTIVATION	
TemplateReactionRegulation9	Protein6	TemplateReaction7	ACTIVATION	
