Catalysis1	Protein7	BiochemicalReaction3	ACTIVATION	
Catalysis2	Protein10	BiochemicalReaction4	ACTIVATION	
Catalysis3	Complex5	BiochemicalReaction8	ACTIVATION	
Catalysis4	Complex7	BiochemicalReaction10	ACTIVATION	
Catalysis5	Complex9	BiochemicalReaction14	ACTIVATION	
TemplateReactionRegulation1	Complex3	TemplateReaction1	ACTIVATION	
TemplateReactionRegulation10	Protein11	TemplateReaction5	ACTIVATION	
TemplateReactionRegulation11	Protein19	TemplateReaction6	ACTIVATION	
TemplateReactionRegulation12	Protein19	TemplateReaction7	ACTIVATION	
TemplateReactionRegulation13	Protein19	TemplateReaction8	ACTIVATION	
TemplateReactionRegulation14	Protein19	TemplateReaction9	ACTIVATION	
TemplateReactionRegulation15	Protein19	TemplateReaction10	ACTIVATION	
TemplateReactionRegulation16	Protein19	TemplateReaction11	ACTIVATION	
TemplateReactionRegulation17	Protein19	TemplateReaction12	ACTIVATION	
TemplateReactionRegulation18	Protein19	TemplateReaction13	ACTIVATION	
TemplateReactionRegulation19	Protein19	TemplateReaction14	ACTIVATION	
TemplateReactionRegulation2	Protein15	TemplateReaction1	ACTIVATION	
TemplateReactionRegulation20	Protein19	TemplateReaction15	ACTIVATION	
TemplateReactionRegulation21	Protein19	TemplateReaction16	ACTIVATION	
TemplateReactionRegulation22	Protein19	TemplateReaction17	ACTIVATION	
TemplateReactionRegulation23	Protein19	TemplateReaction18	ACTIVATION	
TemplateReactionRegulation24	Protein19	TemplateReaction19	ACTIVATION	
TemplateReactionRegulation25	Protein19	TemplateReaction20	ACTIVATION	
TemplateReactionRegulation26	Protein19	TemplateReaction21	ACTIVATION	
TemplateReactionRegulation27	Protein19	TemplateReaction22	ACTIVATION	
TemplateReactionRegulation28	Protein19	TemplateReaction23	ACTIVATION	
TemplateReactionRegulation29	Protein19	TemplateReaction24	ACTIVATION	
TemplateReactionRegulation3	Protein11	TemplateReaction1	ACTIVATION	
TemplateReactionRegulation30	Protein19	TemplateReaction25	ACTIVATION	
TemplateReactionRegulation31	Protein19	TemplateReaction26	ACTIVATION	
TemplateReactionRegulation32	Protein19	TemplateReaction27	ACTIVATION	
TemplateReactionRegulation33	Protein19	TemplateReaction28	ACTIVATION	
TemplateReactionRegulation34	Protein19	TemplateReaction29	ACTIVATION	
TemplateReactionRegulation35	Protein19	TemplateReaction30	ACTIVATION	
TemplateReactionRegulation36	Protein19	TemplateReaction31	ACTIVATION	
TemplateReactionRegulation37	Protein19	TemplateReaction32	ACTIVATION	
TemplateReactionRegulation38	Protein19	TemplateReaction33	ACTIVATION	
TemplateReactionRegulation39	Protein19	TemplateReaction34	ACTIVATION	
TemplateReactionRegulation4	Complex3	TemplateReaction2	ACTIVATION	
TemplateReactionRegulation40	Protein19	TemplateReaction35	ACTIVATION	
TemplateReactionRegulation41	Protein19	TemplateReaction36	ACTIVATION	
TemplateReactionRegulation42	Protein19	TemplateReaction37	ACTIVATION	
TemplateReactionRegulation43	Protein19	TemplateReaction38	ACTIVATION	
TemplateReactionRegulation44	Protein19	TemplateReaction39	ACTIVATION	
TemplateReactionRegulation45	Protein19	TemplateReaction40	ACTIVATION	
TemplateReactionRegulation46	Protein19	TemplateReaction41	ACTIVATION	
TemplateReactionRegulation47	Protein19	TemplateReaction42	ACTIVATION	
TemplateReactionRegulation48	Protein19	TemplateReaction43	ACTIVATION	
TemplateReactionRegulation49	Protein19	TemplateReaction44	ACTIVATION	
TemplateReactionRegulation5	Protein15	TemplateReaction2	ACTIVATION	
TemplateReactionRegulation50	Protein19	TemplateReaction45	ACTIVATION	
TemplateReactionRegulation51	Protein19	TemplateReaction46	ACTIVATION	
TemplateReactionRegulation52	Protein19	TemplateReaction47	ACTIVATION	
TemplateReactionRegulation53	Protein19	TemplateReaction48	ACTIVATION	
TemplateReactionRegulation54	Protein19	TemplateReaction49	ACTIVATION	
TemplateReactionRegulation55	Protein19	TemplateReaction50	ACTIVATION	
TemplateReactionRegulation56	Protein69	TemplateReaction51	ACTIVATION	
TemplateReactionRegulation57	Protein15	TemplateReaction52	ACTIVATION	
TemplateReactionRegulation58	Protein15	TemplateReaction53	ACTIVATION	
TemplateReactionRegulation59	Protein15	TemplateReaction54	ACTIVATION	
TemplateReactionRegulation6	Protein11	TemplateReaction2	ACTIVATION	
TemplateReactionRegulation60	Protein15	TemplateReaction55	ACTIVATION	
TemplateReactionRegulation61	Protein15	TemplateReaction56	ACTIVATION	
TemplateReactionRegulation62	Complex10	TemplateReaction57	INHIBITION	
TemplateReactionRegulation63	Protein15	TemplateReaction57	ACTIVATION	
TemplateReactionRegulation7	Protein11	TemplateReaction3	ACTIVATION	
TemplateReactionRegulation8	Protein11	TemplateReaction4	ACTIVATION	
TemplateReactionRegulation9	Complex3	TemplateReaction5	ACTIVATION	
