PhysicalEntity1	Peroxisome Proliferator Receptor Element (PPRE)	nucleoplasm	Reactome DB_ID: 422139	NA	
Protein11	SREBF1A,2	nucleoplasm	Reactome DB_ID: 1655734	Protein12	
Protein11	SREBF1A,2	nucleoplasm	Reactome DB_ID: 1655734	Protein13	
Protein66	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein23	
Protein66	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein67	
Protein66	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein48	
Protein66	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein24	
Protein66	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein26	
Protein66	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein68	
Protein66	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein21	
Protein66	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein69	
Protein66	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein70	
Protein66	Coactivators of PPARalpha	nucleoplasm	Reactome DB_ID: 400216	Protein71	
Protein76	WNT1,WNT10B	extracellular region	Reactome DB_ID: 976184	Protein77	
Protein76	WNT1,WNT10B	extracellular region	Reactome DB_ID: 976184	Protein78	
SmallMolecule1	Ligands of PPARG	nucleoplasm	Reactome DB_ID: 381235	SmallMolecule2	
SmallMolecule1	Ligands of PPARG	nucleoplasm	Reactome DB_ID: 381235	SmallMolecule3	
SmallMolecule1	Ligands of PPARG	nucleoplasm	Reactome DB_ID: 381235	SmallMolecule4	
SmallMolecule1	Ligands of PPARG	nucleoplasm	Reactome DB_ID: 381235	SmallMolecule5	
SmallMolecule6	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule7	
SmallMolecule6	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule8	
SmallMolecule6	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule9	
SmallMolecule6	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule10	
SmallMolecule6	Ligands of PPARA	nucleoplasm	Reactome DB_ID: 400149	SmallMolecule11	
