Complex1	CD28 homodimer	plasma membrane	Reactome DB_ID: 179780	Protein1	
Complex10	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex9	
Complex10	CD28:PI3K	plasma membrane	Reactome DB_ID: 388783	Complex6	
Complex11	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	Protein19	
Complex11	PDK1:PIP3	plasma membrane	Reactome DB_ID: 377179	SmallMolecule4	
Complex12	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	Protein24	
Complex12	AKT:PIP3	plasma membrane	Reactome DB_ID: 2317329	SmallMolecule4	
Complex13	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	Protein28	
Complex13	p-S-AKT:PIP3	plasma membrane	Reactome DB_ID: 2317310	SmallMolecule4	
Complex14	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein32	
Complex14	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein33	
Complex14	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein34	
Complex14	TORC2 complex	cytosol	Reactome DB_ID: 198626	Protein35	
Complex15	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Protein36	
Complex15	AKT:PIP3:THEM4/TRIB3	plasma membrane	Reactome DB_ID: 199453	Complex12	
Complex16	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex11	
Complex16	p-S-AKT:PDPK1:PIP3	plasma membrane	Reactome DB_ID: 2317313	Complex13	
Complex17	CD28:Grb2	plasma membrane	Reactome DB_ID: 388786	Complex6	
Complex17	CD28:Grb2	plasma membrane	Reactome DB_ID: 388786	Protein47	
Complex18	Vav1 bound to PIP3 and Grb2:CD28	plasma membrane	Reactome DB_ID: 389334	Complex17	
Complex18	Vav1 bound to PIP3 and Grb2:CD28	plasma membrane	Reactome DB_ID: 389334	Protein48	
Complex18	Vav1 bound to PIP3 and Grb2:CD28	plasma membrane	Reactome DB_ID: 389334	SmallMolecule4	
Complex19	pVav1:PIP3:Grb2:CD28	plasma membrane	Reactome DB_ID: 389332	Complex17	
Complex19	pVav1:PIP3:Grb2:CD28	plasma membrane	Reactome DB_ID: 389332	Protein49	
Complex19	pVav1:PIP3:Grb2:CD28	plasma membrane	Reactome DB_ID: 389332	SmallMolecule4	
Complex2	CD80 (B7-1) homodimer	plasma membrane	Reactome DB_ID: 179787	Protein2	
Complex20	RAC1-GDP	cytosol	Reactome DB_ID: 445010	SmallMolecule6	
