SmallMolecule1	HPRO	4-Hydroxy-L-proline [ChEBI:1852]	Reactome DB_ID: 352049	cytosol	
SmallMolecule10	PYR	Pyruvate [ChEBI:32816]	Reactome DB_ID: 389680	peroxisomal matrix	
SmallMolecule11	Glyoxylate	Glyoxylate [ChEBI:5509]	Reactome DB_ID: 904849	mitochondrial matrix	
SmallMolecule12	L-Ala	L-Alanine [ChEBI:16977]	Reactome DB_ID: 379697	mitochondrial matrix	
SmallMolecule13	Gly	Glycine [ChEBI:15428]	Reactome DB_ID: 159549	mitochondrial matrix	
SmallMolecule14	PYR	Pyruvate [ChEBI:32816]	Reactome DB_ID: 113557	mitochondrial matrix	
SmallMolecule15	TPNH	NADPH [ChEBI:16474]	Reactome DB_ID: 113602	peroxisomal matrix	
SmallMolecule16	H+	H+ [ChEBI:15378]	Reactome DB_ID: 193465	peroxisomal matrix	
SmallMolecule17	Glycolate	Glycolate [ChEBI:5475]	Reactome DB_ID: 389822	peroxisomal matrix	
SmallMolecule18	TPN	NADP+ [ChEBI:18009]	Reactome DB_ID: 389556	peroxisomal matrix	
SmallMolecule19	FMN	FMN [ChEBI:17621]	Reactome DB_ID: 389864	peroxisomal matrix	
SmallMolecule2	Glyoxylate	Glyoxylate [ChEBI:5509]	Reactome DB_ID: 389678	peroxisomal matrix	
SmallMolecule20	OX	Oxalate [ChEBI:7811]	Reactome DB_ID: 389819	peroxisomal matrix	
SmallMolecule3	Gly	Glycine [ChEBI:15428]	Reactome DB_ID: 193446	peroxisomal matrix	
SmallMolecule4	O2	Oxygen [ChEBI:15379]	Reactome DB_ID: 113535	peroxisomal matrix	
SmallMolecule5	H2O	H2O [ChEBI:15377]	Reactome DB_ID: 141343	peroxisomal matrix	
SmallMolecule6	NH4+	NH4+ [ChEBI:28938]	Reactome DB_ID: 389843	peroxisomal matrix	
SmallMolecule7	H2O2	H2O2 [ChEBI:16240]	Reactome DB_ID: 113575	peroxisomal matrix	
SmallMolecule8	FAD	FAD [ChEBI:16238]	Reactome DB_ID: 141335	peroxisomal matrix	
SmallMolecule9	L-Ala	L-Alanine [ChEBI:16977]	Reactome DB_ID: 389664	peroxisomal matrix	
