BiochemicalReaction1	Isomerization of (2R)-pristanoyl-CoA to (2S)-pristanoyl-CoA	SmallMolecule1	SmallMolecule2	
BiochemicalReaction10	acetyl-CoA + H2O => acetate + CoASH	SmallMolecule17	SmallMolecule21	
BiochemicalReaction10	acetyl-CoA + H2O => acetate + CoASH	SmallMolecule7	SmallMolecule21	
BiochemicalReaction10	acetyl-CoA + H2O => acetate + CoASH	SmallMolecule7	SmallMolecule13	
BiochemicalReaction10	acetyl-CoA + H2O => acetate + CoASH	SmallMolecule17	SmallMolecule13	
BiochemicalReaction11	propionyl-CoA + carnitine => propionylcarnitine + CoASH	SmallMolecule14	SmallMolecule22	
BiochemicalReaction11	propionyl-CoA + carnitine => propionylcarnitine + CoASH	SmallMolecule18	SmallMolecule22	
BiochemicalReaction11	propionyl-CoA + carnitine => propionylcarnitine + CoASH	SmallMolecule18	SmallMolecule13	
BiochemicalReaction11	propionyl-CoA + carnitine => propionylcarnitine + CoASH	SmallMolecule14	SmallMolecule13	
BiochemicalReaction2	(2S)-pristanoyl-CoA + O2 => trans-2,3-dehydropristanoyl-CoA + H2O2 (ACOX2)	SmallMolecule2	SmallMolecule4	
BiochemicalReaction2	(2S)-pristanoyl-CoA + O2 => trans-2,3-dehydropristanoyl-CoA + H2O2 (ACOX2)	SmallMolecule3	SmallMolecule4	
BiochemicalReaction2	(2S)-pristanoyl-CoA + O2 => trans-2,3-dehydropristanoyl-CoA + H2O2 (ACOX2)	SmallMolecule3	SmallMolecule5	
BiochemicalReaction2	(2S)-pristanoyl-CoA + O2 => trans-2,3-dehydropristanoyl-CoA + H2O2 (ACOX2)	SmallMolecule2	SmallMolecule5	
BiochemicalReaction3	(2S)-pristanoyl-CoA + O2 => trans-2,3-dehydropristanoyl-CoA + H2O2 (ACOX3)	SmallMolecule2	SmallMolecule4	
BiochemicalReaction3	(2S)-pristanoyl-CoA + O2 => trans-2,3-dehydropristanoyl-CoA + H2O2 (ACOX3)	SmallMolecule3	SmallMolecule4	
BiochemicalReaction3	(2S)-pristanoyl-CoA + O2 => trans-2,3-dehydropristanoyl-CoA + H2O2 (ACOX3)	SmallMolecule3	SmallMolecule5	
BiochemicalReaction3	(2S)-pristanoyl-CoA + O2 => trans-2,3-dehydropristanoyl-CoA + H2O2 (ACOX3)	SmallMolecule2	SmallMolecule5	
BiochemicalReaction4	trans-2,3-dehydropristanoyl-CoA + H2O => 3-hydroxypristanoyl-CoA	SmallMolecule4	SmallMolecule8	
BiochemicalReaction4	trans-2,3-dehydropristanoyl-CoA + H2O => 3-hydroxypristanoyl-CoA	SmallMolecule7	SmallMolecule8	
BiochemicalReaction5	3-hydroxypristanoyl-CoA + NAD+ => 3-ketoxypristanoyl-CoA + NADH + H+	SmallMolecule9	SmallMolecule10	
BiochemicalReaction5	3-hydroxypristanoyl-CoA + NAD+ => 3-ketoxypristanoyl-CoA + NADH + H+	SmallMolecule8	SmallMolecule10	
BiochemicalReaction5	3-hydroxypristanoyl-CoA + NAD+ => 3-ketoxypristanoyl-CoA + NADH + H+	SmallMolecule8	SmallMolecule11	
BiochemicalReaction5	3-hydroxypristanoyl-CoA + NAD+ => 3-ketoxypristanoyl-CoA + NADH + H+	SmallMolecule9	SmallMolecule11	
BiochemicalReaction5	3-hydroxypristanoyl-CoA + NAD+ => 3-ketoxypristanoyl-CoA + NADH + H+	SmallMolecule8	SmallMolecule12	
BiochemicalReaction5	3-hydroxypristanoyl-CoA + NAD+ => 3-ketoxypristanoyl-CoA + NADH + H+	SmallMolecule9	SmallMolecule12	
BiochemicalReaction6	3-ketopristanoyl-CoA + CoASH => 4,8,12-trimethyltridecanoyl-CoA + propionyl-CoA	SmallMolecule11	SmallMolecule14	
BiochemicalReaction6	3-ketopristanoyl-CoA + CoASH => 4,8,12-trimethyltridecanoyl-CoA + propionyl-CoA	SmallMolecule13	SmallMolecule14	
BiochemicalReaction6	3-ketopristanoyl-CoA + CoASH => 4,8,12-trimethyltridecanoyl-CoA + propionyl-CoA	SmallMolecule13	SmallMolecule15	
BiochemicalReaction6	3-ketopristanoyl-CoA + CoASH => 4,8,12-trimethyltridecanoyl-CoA + propionyl-CoA	SmallMolecule11	SmallMolecule15	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule3	SmallMolecule16	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule9	SmallMolecule16	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule7	SmallMolecule16	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule15	SmallMolecule16	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule13	SmallMolecule16	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule13	SmallMolecule10	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule15	SmallMolecule10	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule7	SmallMolecule10	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule9	SmallMolecule10	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule3	SmallMolecule10	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule13	SmallMolecule14	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule15	SmallMolecule14	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule7	SmallMolecule14	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule9	SmallMolecule14	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule3	SmallMolecule14	
BiochemicalReaction7	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	SmallMolecule13	SmallMolecule17	
