BiochemicalReaction1	Peroxisomal uptake of very long-chain fatty acyl CoA	SmallMolecule1	SmallMolecule2	
BiochemicalReaction2	hexacosanoyl-CoA + O2 => trans-2,3-dehydrohexacosanoyl-CoA + H2O2	SmallMolecule2	SmallMolecule4	
BiochemicalReaction2	hexacosanoyl-CoA + O2 => trans-2,3-dehydrohexacosanoyl-CoA + H2O2	SmallMolecule3	SmallMolecule4	
BiochemicalReaction2	hexacosanoyl-CoA + O2 => trans-2,3-dehydrohexacosanoyl-CoA + H2O2	SmallMolecule3	SmallMolecule5	
BiochemicalReaction2	hexacosanoyl-CoA + O2 => trans-2,3-dehydrohexacosanoyl-CoA + H2O2	SmallMolecule2	SmallMolecule5	
BiochemicalReaction3	trans-2,3-dehydrohexacosanoyl-CoA + H2O => 3-hydroxyhexacosanoyl-CoA	SmallMolecule7	SmallMolecule8	
BiochemicalReaction3	trans-2,3-dehydrohexacosanoyl-CoA + H2O => 3-hydroxyhexacosanoyl-CoA	SmallMolecule5	SmallMolecule8	
BiochemicalReaction4	3-hydroxyhexacosanoyl-CoA + NAD+ => 3-ketohexacosanoyl-CoA + NADH + H+	SmallMolecule9	SmallMolecule10	
BiochemicalReaction4	3-hydroxyhexacosanoyl-CoA + NAD+ => 3-ketohexacosanoyl-CoA + NADH + H+	SmallMolecule8	SmallMolecule10	
BiochemicalReaction4	3-hydroxyhexacosanoyl-CoA + NAD+ => 3-ketohexacosanoyl-CoA + NADH + H+	SmallMolecule8	SmallMolecule11	
BiochemicalReaction4	3-hydroxyhexacosanoyl-CoA + NAD+ => 3-ketohexacosanoyl-CoA + NADH + H+	SmallMolecule9	SmallMolecule11	
BiochemicalReaction4	3-hydroxyhexacosanoyl-CoA + NAD+ => 3-ketohexacosanoyl-CoA + NADH + H+	SmallMolecule8	SmallMolecule12	
BiochemicalReaction4	3-hydroxyhexacosanoyl-CoA + NAD+ => 3-ketohexacosanoyl-CoA + NADH + H+	SmallMolecule9	SmallMolecule12	
BiochemicalReaction5	3-ketohexacosanoyl-CoA + CoASH => tetracosanoyl-CoA + acetyl-CoA	SmallMolecule11	SmallMolecule14	
BiochemicalReaction5	3-ketohexacosanoyl-CoA + CoASH => tetracosanoyl-CoA + acetyl-CoA	SmallMolecule13	SmallMolecule14	
BiochemicalReaction5	3-ketohexacosanoyl-CoA + CoASH => tetracosanoyl-CoA + acetyl-CoA	SmallMolecule13	SmallMolecule15	
BiochemicalReaction5	3-ketohexacosanoyl-CoA + CoASH => tetracosanoyl-CoA + acetyl-CoA	SmallMolecule11	SmallMolecule15	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule3	SmallMolecule10	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule9	SmallMolecule10	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule15	SmallMolecule10	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule7	SmallMolecule10	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule13	SmallMolecule10	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule13	SmallMolecule16	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule7	SmallMolecule16	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule15	SmallMolecule16	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule9	SmallMolecule16	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule3	SmallMolecule16	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule13	SmallMolecule14	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule7	SmallMolecule14	
BiochemicalReaction6	tetracosenoyl-CoA + 8 O2 + 8 H2O + 8 NAD+ + 8 CoASH => octanoyl-CoA + 8 H2O2 + 8 NADH + 8 H+ + 8 acetyl-CoA	SmallMolecule15	SmallMolecule14	
