PhysicalEntity1	alpha Actin Chain	cytosol	Reactome DB_ID: 390576	NA	
Protein13	Tropomyosin	cytosol	Reactome DB_ID: 390545	Protein14	
Protein13	Tropomyosin	cytosol	Reactome DB_ID: 390545	Protein15	
Protein13	Tropomyosin	cytosol	Reactome DB_ID: 390545	Protein16	
Protein13	Tropomyosin	cytosol	Reactome DB_ID: 390545	Protein17	
Protein2	Troponin C	cytosol	Reactome DB_ID: 390532	Protein3	
Protein2	Troponin C	cytosol	Reactome DB_ID: 390532	Protein4	
Protein20	Myosin Light Chain	cytosol	Reactome DB_ID: 390525	Protein21	
Protein20	Myosin Light Chain	cytosol	Reactome DB_ID: 390525	Protein22	
Protein20	Myosin Light Chain	cytosol	Reactome DB_ID: 390525	Protein23	
Protein20	Myosin Light Chain	cytosol	Reactome DB_ID: 390525	Protein24	
Protein25	Myosin heavy chain	cytosol	Reactome DB_ID: 390566	Protein26	
Protein25	Myosin heavy chain	cytosol	Reactome DB_ID: 390566	Protein27	
Protein25	Myosin heavy chain	cytosol	Reactome DB_ID: 390566	Protein28	
Protein32	Alpha-actinin	cytosol	Reactome DB_ID: 390561	Protein33	
Protein32	Alpha-actinin	cytosol	Reactome DB_ID: 390561	Protein34	
Protein36	Myosin-binding protein C	cytosol	Reactome DB_ID: 390553	Protein37	
Protein36	Myosin-binding protein C	cytosol	Reactome DB_ID: 390553	Protein38	
Protein36	Myosin-binding protein C	cytosol	Reactome DB_ID: 390553	Protein39	
Protein42	Smooth Muscle Myosin Light Chain	cytosol	Reactome DB_ID: 445793	Protein43	
Protein42	Smooth Muscle Myosin Light Chain	cytosol	Reactome DB_ID: 445793	Protein44	
Protein42	Smooth Muscle Myosin Light Chain	cytosol	Reactome DB_ID: 445793	Protein45	
Protein42	Smooth Muscle Myosin Light Chain	cytosol	Reactome DB_ID: 445793	Protein46	
Protein47	Phosphorylated Smooth Muscle Myosin Light Chain	cytosol	Reactome DB_ID: 445770	Protein48	
Protein47	Phosphorylated Smooth Muscle Myosin Light Chain	cytosol	Reactome DB_ID: 445770	Protein49	
Protein47	Phosphorylated Smooth Muscle Myosin Light Chain	cytosol	Reactome DB_ID: 445770	Protein50	
Protein47	Phosphorylated Smooth Muscle Myosin Light Chain	cytosol	Reactome DB_ID: 445770	Protein51	
Protein5	Troponin I	cytosol	Reactome DB_ID: 390541	Protein6	
Protein5	Troponin I	cytosol	Reactome DB_ID: 390541	Protein7	
Protein5	Troponin I	cytosol	Reactome DB_ID: 390541	Protein8	
Protein53	Smooth Muscle Actin	cytosol	Reactome DB_ID: 445782	Protein54	
Protein53	Smooth Muscle Actin	cytosol	Reactome DB_ID: 445782	Protein55	
Protein56	Smooth Muscle Myosin Heavy Chain	cytosol	Reactome DB_ID: 445788	Protein57	
Protein9	Troponin T	cytosol	Reactome DB_ID: 390546	Protein10	
Protein9	Troponin T	cytosol	Reactome DB_ID: 390546	Protein11	
Protein9	Troponin T	cytosol	Reactome DB_ID: 390546	Protein12	
