Protein1	SEMA3A	UniProt:Q14563 SEMA3A	Reactome DB_ID: 198235	extracellular region	
Protein10	p35	UniProt:Q15078 CDK5R1	Reactome DB_ID: 421083	cytosol	
Protein11	p-Y15-CDK5	UniProt:Q00535 CDK5	Reactome DB_ID: 399809	cytosol	
Protein13	CRMP1	UniProt:Q14194 CRMP1	Reactome DB_ID: 398120	cytosol	
Protein14	DPYSL2	UniProt:Q16555 DPYSL2	Reactome DB_ID: 396943	cytosol	
Protein15	DPYSL3	UniProt:Q14195 DPYSL3	Reactome DB_ID: 398124	cytosol	
Protein16	DPYSL4	UniProt:O14531 DPYSL4	Reactome DB_ID: 398126	cytosol	
Protein17	DPYSL5	UniProt:Q9BPU6 DPYSL5	Reactome DB_ID: 398138	cytosol	
Protein19	p-S522-CRMP1	UniProt:Q14194 CRMP1	Reactome DB_ID: 399779	cytosol	
Protein2	NRP1	UniProt:O14786 NRP1	Reactome DB_ID: 3008773	plasma membrane	
Protein20	p-S522-DPYSL2	UniProt:Q16555 DPYSL2	Reactome DB_ID: 399776	cytosol	
Protein21	p-S544-DPYSL4	UniProt:O14531 DPYSL4	Reactome DB_ID: 399808	cytosol	
Protein22	p-S522-DPYSL3	UniProt:Q14195 DPYSL3	Reactome DB_ID: 399806	cytosol	
Protein23	pCRAM-5	UniProt:Q9BPU6 DPYSL5	Reactome DB_ID: 399793	cytosol	
Protein25	p-T509,T514,S518,S522-CRMP1	UniProt:Q14194 CRMP1	Reactome DB_ID: 399777	cytosol	
Protein26	p-T509,T514,S518,S522-DPYSL2	UniProt:Q16555 DPYSL2	Reactome DB_ID: 399778	cytosol	
Protein27	p-T509,T514,S518,S522-DPYSL3	UniProt:Q14195 DPYSL3	Reactome DB_ID: 399798	cytosol	
Protein28	GSK3B	UniProt:P49841 GSK3B	Reactome DB_ID: 2997551	cytosol	
Protein29	FES	UniProt:P07332 FES	Reactome DB_ID: 396937	cytosol	
Protein3	FYN	UniProt:P06241 FYN	Reactome DB_ID: 200917	cytosol	
Protein31	p-Y-PLXNA1	UniProt:Q9UIW2 PLXNA1	Reactome DB_ID: 419614	plasma membrane	
Protein32	p-Y-PLXNA2	UniProt:O75051 PLXNA2	Reactome DB_ID: 419607	plasma membrane	
Protein33	p-Y-PLXNA3	UniProt:P51805 PLXNA3	Reactome DB_ID: 419604	plasma membrane	
Protein34	p-Y-PLXNA4	UniProt:Q9HCM2 PLXNA4	Reactome DB_ID: 419608	plasma membrane	
Protein36	p-Y-CRMP1	UniProt:Q14194 CRMP1	Reactome DB_ID: 399784	cytosol	
Protein37	p-Y-DPYSL2	UniProt:Q16555 DPYSL2	Reactome DB_ID: 399804	cytosol	
Protein38	p-Y-DPYSL4	UniProt:O14531 DPYSL4	Reactome DB_ID: 399794	cytosol	
Protein39	p-Y-DPYSL3	UniProt:Q14195 DPYSL3	Reactome DB_ID: 399795	cytosol	
Protein40	p-Y-DPYSL5	UniProt:Q9BPU6 DPYSL5	Reactome DB_ID: 399786	cytosol	
Protein5	PLXNA1	UniProt:Q9UIW2 PLXNA1	Reactome DB_ID: 396932	plasma membrane	
Protein6	PLXNA2	UniProt:O75051 PLXNA2	Reactome DB_ID: 396934	plasma membrane	
Protein7	PLXNA3	UniProt:P51805 PLXNA3	Reactome DB_ID: 399734	plasma membrane	
Protein8	PLXNA4	UniProt:Q9HCM2 PLXNA4	Reactome DB_ID: 399736	plasma membrane	
Protein9	CDK5	UniProt:Q00535 CDK5	Reactome DB_ID: 180064	cytosol	
