SmallMolecule1	Ca2+	Calcium [ChEBI:29108]	Reactome DB_ID: 216801	secretory granule lumen	
SmallMolecule10	n-Oleoylethanolamide	NA	Reactome DB_ID: 400552	extracellular region	
SmallMolecule12	11,14,17-eicosatrienoic acid	all-cis-eicosa-11,14,17-trienoic acid [ChEBI:53460]	Reactome DB_ID: 444192	extracellular region	
SmallMolecule13	8,11,14-Eicosatrienoic acid	ChEBI:53486 8,11,14-Eicosatrienoic acid	Reactome DB_ID: 444200	extracellular region	
SmallMolecule14	ELDA	elaidic acid [ChEBI:10546]	Reactome DB_ID: 400481	extracellular region	
SmallMolecule15	all-cis-icosa-pentaenoic acid	ChEBI:28364 all-cis-icosa-5,8,11,14,17-pentaenoic acid	Reactome DB_ID: 444207	extracellular region	
SmallMolecule16	MYSA	Myristic acid [ChEBI:7056]	Reactome DB_ID: 400514	extracellular region	
SmallMolecule17	STEA	Stearate [ChEBI:9254]	Reactome DB_ID: 400530	extracellular region	
SmallMolecule18	ALA	alpha-Linolenic acid [ChEBI:10298]	Reactome DB_ID: 400506	extracellular region	
SmallMolecule19	GLA	gamma-Linolenic acid [ChEBI:10573]	Reactome DB_ID: 400528	extracellular region	
SmallMolecule20	Pmoa	Palmitoleic acid [ChEBI:7897]	Reactome DB_ID: 400486	extracellular region	
SmallMolecule21	DTTA	ChEBI:53487 cis-7,10,13,16-Docosatetraenoic acid	Reactome DB_ID: 444170	extracellular region	
SmallMolecule22	DPA	ChEBI:53488 all-cis-7,10,13,16,19-Docosapentaenoic acid	Reactome DB_ID: 444178	extracellular region	
SmallMolecule23	DHA	Docosahexaenoic acid [ChEBI:4673]	Reactome DB_ID: 400493	extracellular region	
SmallMolecule24	PALM	Palmitate [ChEBI:15756]	Reactome DB_ID: 400452	extracellular region	
SmallMolecule25	OLEA	ChEBI:16196 Oleic acid	Reactome DB_ID: 400431	extracellular region	
SmallMolecule26	AcCho	ChEBI:15355 O-acetylcholine	Reactome DB_ID: 372533	extracellular region	
SmallMolecule27	Glc	alpha-D-Glucose [ChEBI:17925]	Reactome DB_ID: 70115	extracellular region	
SmallMolecule3	DDCX	Dodecylcarboxylate [ChEBI:30805]	Reactome DB_ID: 449682	plasma membrane	
SmallMolecule4	OLEA	ChEBI:16196 Oleic acid	Reactome DB_ID: 426574	plasma membrane	
SmallMolecule5	Pentadecanoic acid	ChEBI:42504 Pentadecanoic acid	Reactome DB_ID: 426577	plasma membrane	
SmallMolecule6	RGZ	ChEBI:50122 Rosiglitazone	Reactome DB_ID: 449681	plasma membrane	
SmallMolecule7	PALM	Palmitate [ChEBI:15756]	Reactome DB_ID: 426576	plasma membrane	
SmallMolecule9	1-acyl LPC	NA	Reactome DB_ID: 194236	extracellular region	
