Complex1	SEMA4D dimer	plasma membrane	Reactome DB_ID: 373690	Protein1	
Complex10	Activated ROCK:RhoA/B/C:GTP	plasma membrane	Reactome DB_ID: 422483	Protein19	
Complex10	Activated ROCK:RhoA/B/C:GTP	plasma membrane	Reactome DB_ID: 422483	Complex9	
Complex11	Smooth muscle/non-muscle myosin II	cytosol	Reactome DB_ID: 419194	Protein22	
Complex11	Smooth muscle/non-muscle myosin II	cytosol	Reactome DB_ID: 419194	Protein25	
Complex11	Smooth muscle/non-muscle myosin II	cytosol	Reactome DB_ID: 419194	Protein26	
Complex12	Phospho-activated smooth muscle/non-muscle myosin 2	cytosol	Reactome DB_ID: 419195	Protein31	
Complex12	Phospho-activated smooth muscle/non-muscle myosin 2	cytosol	Reactome DB_ID: 419195	Protein25	
Complex12	Phospho-activated smooth muscle/non-muscle myosin 2	cytosol	Reactome DB_ID: 419195	Protein26	
Complex2	Plexin-B1:ErbB2	plasma membrane	Reactome DB_ID: 419629	Protein2	
Complex2	Plexin-B1:ErbB2	plasma membrane	Reactome DB_ID: 419629	Protein3	
Complex3	SEMA4D:pPlexin-B1:ErbB2 complex	plasma membrane	Reactome DB_ID: 373695	Complex1	
Complex3	SEMA4D:pPlexin-B1:ErbB2 complex	plasma membrane	Reactome DB_ID: 373695	Complex4	
Complex4	pPlexin-B1:ErbB2	plasma membrane	Reactome DB_ID: 419627	Protein4	
Complex4	pPlexin-B1:ErbB2	plasma membrane	Reactome DB_ID: 419627	Protein3	
Complex5	Sema4D:pPlexin-B1:ErbB2:Rac1:Rnd1	plasma membrane	Reactome DB_ID: 419626	Protein5	
Complex5	Sema4D:pPlexin-B1:ErbB2:Rac1:Rnd1	plasma membrane	Reactome DB_ID: 419626	Complex3	
Complex5	Sema4D:pPlexin-B1:ErbB2:Rac1:Rnd1	plasma membrane	Reactome DB_ID: 419626	Complex6	
Complex6	VAV1 Rho/Rac effectors:GTP	cytosol	Reactome DB_ID: 114539	SmallMolecule3	
Complex6	VAV1 Rho/Rac effectors:GTP	cytosol	Reactome DB_ID: 114539	Protein6	
Complex7	Sema4D:Plexin-B1:Rac-Rnd1:LARG/PDZ-RhoGEF	plasma membrane	Reactome DB_ID: 416580	Complex5	
Complex7	Sema4D:Plexin-B1:Rac-Rnd1:LARG/PDZ-RhoGEF	plasma membrane	Reactome DB_ID: 416580	Protein12	
Complex8	RhoA,B,C:GDP	plasma membrane	Reactome DB_ID: 419164	SmallMolecule4	
Complex8	RhoA,B,C:GDP	plasma membrane	Reactome DB_ID: 419164	Protein15	
Complex9	RhoA/B/C:GTP	plasma membrane	Reactome DB_ID: 419161	SmallMolecule5	
Complex9	RhoA/B/C:GTP	plasma membrane	Reactome DB_ID: 419161	Protein15	
