BiochemicalReaction1	Transport of Ca++ from platelet dense tubular system to cytoplasm	SmallMolecule1	SmallMolecule2	
BiochemicalReaction2	P2X1-mediated entry of Ca++ from plasma	SmallMolecule5	SmallMolecule2	
BiochemicalReaction3	Cation influx mediated by TRPC3/6/7	SmallMolecule7	SmallMolecule10	
BiochemicalReaction4	STIM1 activation of CRAC	Complex5	Complex7	
BiochemicalReaction4	STIM1 activation of CRAC	Complex6	Complex7	
BiochemicalReaction5	Calcium influx via CRAC	SmallMolecule5	SmallMolecule2	
BiochemicalReaction6	Sequestration of Ca2+ to dense tubular network lumen	SmallMolecule14	SmallMolecule15	
BiochemicalReaction6	Sequestration of Ca2+ to dense tubular network lumen	SmallMolecule2	SmallMolecule15	
BiochemicalReaction6	Sequestration of Ca2+ to dense tubular network lumen	SmallMolecule2	SmallMolecule1	
BiochemicalReaction6	Sequestration of Ca2+ to dense tubular network lumen	SmallMolecule14	SmallMolecule1	
BiochemicalReaction7	PMCA extrusion of Ca2+ 	SmallMolecule2	SmallMolecule5	
BiochemicalReaction8	Na+/Ca2+ exchanger transport	SmallMolecule2	SmallMolecule12	
BiochemicalReaction8	Na+/Ca2+ exchanger transport	SmallMolecule9	SmallMolecule12	
BiochemicalReaction8	Na+/Ca2+ exchanger transport	SmallMolecule9	SmallMolecule5	
BiochemicalReaction8	Na+/Ca2+ exchanger transport	SmallMolecule2	SmallMolecule5	
