Complex1	Active Caspase-3 heterotetramer	cytosol	Reactome DB_ID: 350870	Complex2	
Complex2	Caspase-3 heterodimer	cytosol	Reactome DB_ID: 350888	Protein4	
Complex2	Caspase-3 heterodimer	cytosol	Reactome DB_ID: 350888	Protein5	
Complex3	DCC:DIP13alpha	plasma membrane	Reactome DB_ID: 373668	Protein6	
Complex3	DCC:DIP13alpha	plasma membrane	Reactome DB_ID: 373668	Protein3	
Complex4	Cleaved Caspase-9	cytosol	Reactome DB_ID: 141640	Protein7	
Complex4	Cleaved Caspase-9	cytosol	Reactome DB_ID: 141640	Protein8	
Complex5	DCC:DIP13alpha:Caspase-9	plasma membrane	Reactome DB_ID: 373664	Complex3	
Complex5	DCC:DIP13alpha:Caspase-9	plasma membrane	Reactome DB_ID: 373664	Complex4	
Complex6	active caspase-3	cytosol	Reactome DB_ID: 141647	Protein4	
Complex6	active caspase-3	cytosol	Reactome DB_ID: 141647	Protein5	
Complex7	Unc5B with death domain:DAPK	cytosol	Reactome DB_ID: 418842	Protein11	
Complex7	Unc5B with death domain:DAPK	cytosol	Reactome DB_ID: 418842	Protein13	
Complex8	UNC5A:NRAGE	cytosol	Reactome DB_ID: 374596	Protein20	
Complex8	UNC5A:NRAGE	cytosol	Reactome DB_ID: 374596	Protein18	
