PhysicalEntity1	damaged DNA substrate 	nucleoplasm	Reactome DB_ID: 109939	NA	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein3	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein4	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein5	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein6	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein7	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein8	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein9	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein10	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein11	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein12	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein13	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein14	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein15	
Protein2	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein16	
Protein21	ATM/ATR kinase	nucleoplasm	Reactome DB_ID: 421853	Protein22	
Protein21	ATM/ATR kinase	nucleoplasm	Reactome DB_ID: 421853	Protein23	
