Complex1	claudin trans-homodimer	cell junction	Reactome DB_ID: 421252	Protein23	
Complex2	Par3:Par6:aPKC complex	cytosol	Reactome DB_ID: 419976	Protein45	
Complex2	Par3:Par6:aPKC complex	cytosol	Reactome DB_ID: 419976	Protein46	
Complex2	Par3:Par6:aPKC complex	cytosol	Reactome DB_ID: 419976	Protein47	
Complex3	JAM-A:PAR-aPKC complex	plasma membrane	Reactome DB_ID: 420006	Complex4	
Complex3	JAM-A:PAR-aPKC complex	plasma membrane	Reactome DB_ID: 420006	Protein51	
Complex4	Par3:Par6:aPKC complex	plasma membrane	Reactome DB_ID: 419984	Protein52	
Complex4	Par3:Par6:aPKC complex	plasma membrane	Reactome DB_ID: 419984	Protein53	
Complex4	Par3:Par6:aPKC complex	plasma membrane	Reactome DB_ID: 419984	Protein54	
Complex5	CRB3:PALS1:PATJ complex	plasma membrane	Reactome DB_ID: 420663	Protein58	
Complex5	CRB3:PALS1:PATJ complex	plasma membrane	Reactome DB_ID: 420663	Protein59	
Complex5	CRB3:PALS1:PATJ complex	plasma membrane	Reactome DB_ID: 420663	Protein60	
