Protein10	SPCS1	UniProt:Q9Y6A9 SPCS1	Reactome DB_ID: 264891	endoplasmic reticulum membrane	
Protein11	SPCS2	UniProt:Q15005 SPCS2	Reactome DB_ID: 264996	endoplasmic reticulum membrane	
Protein12	SEC11C	UniProt:Q9BY50 SEC11C	Reactome DB_ID: 265065	endoplasmic reticulum membrane	
Protein13	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422036	endoplasmic reticulum lumen	
Protein14	GOAT	UniProt:Q96T53 MBOAT4	Reactome DB_ID: 422050	endoplasmic reticulum membrane	
Protein15	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422031	endoplasmic reticulum lumen	
Protein17	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422035	secretory granule lumen	
Protein18	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422039	secretory granule lumen	
Protein2	GHRL-2	UniProt:Q9UBU3-2 GHRL	Reactome DB_ID: 422044	endoplasmic reticulum lumen	
Protein20	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422066	secretory granule lumen	
Protein21	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422030	secretory granule lumen	
Protein22	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422086	secretory granule lumen	
Protein23	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422100	secretory granule lumen	
Protein24	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422053	secretory granule lumen	
Protein25	PCSK1	UniProt:P29120 PCSK1	Reactome DB_ID: 378951	secretory granule lumen	
Protein27	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422069	extracellular region	
Protein28	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422041	extracellular region	
Protein29	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422054	extracellular region	
Protein3	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422027	endoplasmic reticulum lumen	
Protein30	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422089	extracellular region	
Protein31	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422052	extracellular region	
Protein32	LEP	UniProt:P41159 LEP	Reactome DB_ID: 400490	extracellular region	
Protein33	2xHC-INS(25-54)	UniProt:P01308 INS	Reactome DB_ID: 74673	extracellular region	
Protein34	insulin A chain	UniProt:P01308 INS	Reactome DB_ID: 74672	extracellular region	
Protein35	IGF1	UniProt:P05019 IGF1	Reactome DB_ID: 2404178	extracellular region	
Protein36	GH1	UniProt:P01241 GH1	Reactome DB_ID: 422070	extracellular region	
Protein37	Glucagon	UniProt:P01275 GCG	Reactome DB_ID: 163626	extracellular region	
Protein39	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422099	extracellular region	
Protein4	KLF4	UniProt:O43474 KLF4	Reactome DB_ID: 434463	nucleoplasm	
Protein40	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422043	extracellular region	
Protein42	BCHE	UniProt:P06276 BCHE	Reactome DB_ID: 434469	extracellular region	
Protein43	ACHE	UniProt:P22303 ACHE	Reactome DB_ID: 372506	extracellular region	
Protein44	PLA2G7	UniProt:Q13093 PLA2G7	Reactome DB_ID: 422074	extracellular region	
Protein6	GHRL	UniProt:Q9UBU3-2 GHRL	Reactome DB_ID: 422090	endoplasmic reticulum lumen	
Protein7	GHRL	UniProt:Q9UBU3-1 GHRL	Reactome DB_ID: 422102	endoplasmic reticulum lumen	
Protein8	SEC11A	UniProt:P67812 SEC11A	Reactome DB_ID: 265024	endoplasmic reticulum membrane	
Protein9	SPCS3	UniProt:P61009 SPCS3	Reactome DB_ID: 264916	endoplasmic reticulum membrane	
