PhysicalEntity1	Sodium dependent Serotonin transporter	plasma membrane	Reactome DB_ID: 380618	NA	
Protein1	Class I GLUTs	plasma membrane	Reactome DB_ID: 428789	Protein2	
Protein1	Class I GLUTs	plasma membrane	Reactome DB_ID: 428789	Protein3	
Protein1	Class I GLUTs	plasma membrane	Reactome DB_ID: 428789	Protein4	
Protein1	Class I GLUTs	plasma membrane	Reactome DB_ID: 428789	Protein5	
Protein101	CTL1-5	plasma membrane	Reactome DB_ID: 444452	Protein102	
Protein101	CTL1-5	plasma membrane	Reactome DB_ID: 444452	Protein103	
Protein101	CTL1-5	plasma membrane	Reactome DB_ID: 444452	Protein104	
Protein101	CTL1-5	plasma membrane	Reactome DB_ID: 444452	Protein105	
Protein101	CTL1-5	plasma membrane	Reactome DB_ID: 444452	Protein106	
Protein107	OCT1	plasma membrane	Reactome DB_ID: 2901782	Protein78	
Protein107	OCT1	plasma membrane	Reactome DB_ID: 2901782	Protein77	
Protein11	GLUT6/8/10/12	plasma membrane	Reactome DB_ID: 429047	Protein12	
Protein11	GLUT6/8/10/12	plasma membrane	Reactome DB_ID: 429047	Protein13	
Protein11	GLUT6/8/10/12	plasma membrane	Reactome DB_ID: 429047	Protein14	
Protein11	GLUT6/8/10/12	plasma membrane	Reactome DB_ID: 429047	Protein15	
Protein110	Carnitine transporters	plasma membrane	Reactome DB_ID: 597614	Protein111	
Protein110	Carnitine transporters	plasma membrane	Reactome DB_ID: 597614	Protein112	
Protein110	Carnitine transporters	plasma membrane	Reactome DB_ID: 597614	Protein113	
Protein115	OAT1-3	plasma membrane	Reactome DB_ID: 561087	Protein116	
Protein115	OAT1-3	plasma membrane	Reactome DB_ID: 561087	Protein117	
Protein115	OAT1-3	plasma membrane	Reactome DB_ID: 561087	Protein118	
Protein119	OAT2/4	plasma membrane	Reactome DB_ID: 561077	Protein117	
Protein119	OAT2/4	plasma membrane	Reactome DB_ID: 561077	Protein120	
Protein16	Sodium/glucose cotransporter	plasma membrane	Reactome DB_ID: 3229243	Protein17	
Protein16	Sodium/glucose cotransporter	plasma membrane	Reactome DB_ID: 3229243	Protein18	
Protein16	Sodium/glucose cotransporter	plasma membrane	Reactome DB_ID: 3229243	Protein19	
Protein16	Sodium/glucose cotransporter	plasma membrane	Reactome DB_ID: 3229243	Protein20	
Protein16	Sodium/glucose cotransporter	plasma membrane	Reactome DB_ID: 3229243	Protein21	
Protein22	SLC5A2:Sodium/glucose cotransporters	plasma membrane	Reactome DB_ID: 3662199	Protein19	
Protein22	SLC5A2:Sodium/glucose cotransporters	plasma membrane	Reactome DB_ID: 3662199	Protein18	
Protein22	SLC5A2:Sodium/glucose cotransporters	plasma membrane	Reactome DB_ID: 3662199	Protein20	
Protein22	SLC5A2:Sodium/glucose cotransporters	plasma membrane	Reactome DB_ID: 3662199	Protein21	
Protein22	SLC5A2:Sodium/glucose cotransporters	plasma membrane	Reactome DB_ID: 3662199	Protein17	
Protein23	SLC5A3-like proteins	plasma membrane	Reactome DB_ID: 3902851	Protein21	
Protein23	SLC5A3-like proteins	plasma membrane	Reactome DB_ID: 3902851	Protein20	
Protein23	SLC5A3-like proteins	plasma membrane	Reactome DB_ID: 3902851	Protein17	
Protein23	SLC5A3-like proteins	plasma membrane	Reactome DB_ID: 3902851	Protein19	
Protein23	SLC5A3-like proteins	plasma membrane	Reactome DB_ID: 3902851	Protein18	
Protein32	MATE1/2	plasma membrane	Reactome DB_ID: 446605	Protein33	
Protein32	MATE1/2	plasma membrane	Reactome DB_ID: 446605	Protein34	
Protein35	Monocarboxylate transporters	plasma membrane	Reactome DB_ID: 434162	Protein36	
Protein35	Monocarboxylate transporters	plasma membrane	Reactome DB_ID: 434162	Protein37	
Protein35	Monocarboxylate transporters	plasma membrane	Reactome DB_ID: 434162	Protein38	
Protein35	Monocarboxylate transporters	plasma membrane	Reactome DB_ID: 434162	Protein39	
Protein47	SLC30A3-like Protein	synaptic vesicle membrane	Reactome DB_ID: 4084713	Protein48	
Protein47	SLC30A3-like Protein	synaptic vesicle membrane	Reactome DB_ID: 4084713	Protein49	
Protein54	hZIP1-4	plasma membrane	Reactome DB_ID: 442327	Protein55	
Protein54	hZIP1-4	plasma membrane	Reactome DB_ID: 442327	Protein56	
Protein54	hZIP1-4	plasma membrane	Reactome DB_ID: 442327	Protein57	
Protein54	hZIP1-4	plasma membrane	Reactome DB_ID: 442327	Protein58	
Protein60	ZIP6/ZIP14	plasma membrane	Reactome DB_ID: 442330	Protein61	
Protein60	ZIP6/ZIP14	plasma membrane	Reactome DB_ID: 442330	Protein62	
Protein64	SLC39A8-like proteins	plasma membrane	Reactome DB_ID: 4127409	Protein65	
Protein64	SLC39A8-like proteins	plasma membrane	Reactome DB_ID: 4127409	Protein61	
Protein68	MagT1/2	plasma membrane	Reactome DB_ID: 442654	Protein69	
