Protein1	NRAMP1	UniProt:P49279 SLC11A1	Reactome DB_ID: 437103	late endosome membrane	
Protein10	ZnT2	UniProt:Q9BRI3 SLC30A2	Reactome DB_ID: 4084714	synaptic vesicle membrane	
Protein11	ZnT5	UniProt:Q8TAD4 SLC30A5	Reactome DB_ID: 437105	secretory granule membrane	
Protein12	ZnT6	UniProt:Q6NXT4 SLC30A6	Reactome DB_ID: 437099	Golgi membrane	
Protein13	ZnT7	UniProt:Q8NEW0 SLC30A7	Reactome DB_ID: 437104	Golgi membrane	
Protein14	ZnT8	UniProt:Q8IWU4 SLC30A8	Reactome DB_ID: 437106	secretory granule membrane	
Protein16	hZIP1	UniProt:Q9NY26 SLC39A1	Reactome DB_ID: 442329	plasma membrane	
Protein17	hZIP2	UniProt:Q9NP94 SLC39A2	Reactome DB_ID: 442395	plasma membrane	
Protein18	hZIP3	UniProt:Q9BRY0 SLC39A3	Reactome DB_ID: 442426	plasma membrane	
Protein19	hZIP4	UniProt:Q6P5W5 SLC39A4	Reactome DB_ID: 442399	plasma membrane	
Protein2	DCT1	UniProt:P49281 SLC11A2	Reactome DB_ID: 435359	plasma membrane	
Protein20	hZIP5	UniProt:Q6ZMH5 SLC39A5	Reactome DB_ID: 442360	plasma membrane	
Protein22	ZIP14	UniProt:Q15043 SLC39A14	Reactome DB_ID: 442375	plasma membrane	
Protein23	ZIP6	UniProt:Q13433 SLC39A6	Reactome DB_ID: 442332	plasma membrane	
Protein24	ZIP7	UniProt:Q92504 SLC39A7	Reactome DB_ID: 442363	endoplasmic reticulum membrane	
Protein26	ZIP8	UniProt:Q9C0K1 SLC39A8	Reactome DB_ID: 442328	plasma membrane	
Protein27	hZIP10	UniProt:Q9ULF5 SLC39A10	Reactome DB_ID: 442377	plasma membrane	
Protein28	hCTR1	UniProt:O15431 SLC31A1	Reactome DB_ID: 437299	plasma membrane	
Protein3	HEPH	UniProt:Q9BQS7 HEPH	Reactome DB_ID: 904820	plasma membrane	
Protein30	MagT1	UniProt:Q8IVJ1 SLC41A1	Reactome DB_ID: 442659	plasma membrane	
Protein31	MagT2	UniProt:Q96JW4 SLC41A2	Reactome DB_ID: 442666	plasma membrane	
Protein4	MTP1	UniProt:Q9NP59 SLC40A1	Reactome DB_ID: 442390	plasma membrane	
Protein5	CP	UniProt:P00450 CP	Reactome DB_ID: 904819	extracellular region	
Protein6	ZnT1	UniProt:Q9Y6M5 SLC30A1	Reactome DB_ID: 435361	plasma membrane	
Protein7	ZnT2	UniProt:Q9BRI3 SLC30A2	Reactome DB_ID: 435363	endosome membrane	
Protein9	ZnT3	UniProt:Q99726 SLC30A3	Reactome DB_ID: 437087	synaptic vesicle membrane	
