PhysicalEntity1	Guanine nucleotide-binding protein beta subunit	plasma membrane	Reactome DB_ID: 114545	NA	
PhysicalEntity2	Guanine nucleotide-binding protein gamma subunit	plasma membrane	Reactome DB_ID: 114546	NA	
Protein2	G(q) alpha 11/14/15/Q	plasma membrane	Reactome DB_ID: 400000	Protein3	
Protein2	G(q) alpha 11/14/15/Q	plasma membrane	Reactome DB_ID: 400000	Protein4	
Protein2	G(q) alpha 11/14/15/Q	plasma membrane	Reactome DB_ID: 400000	Protein5	
Protein2	G(q) alpha 11/14/15/Q	plasma membrane	Reactome DB_ID: 400000	Protein6	
Protein7	PLC beta 1/2/3	cytosol	Reactome DB_ID: 400005	Protein8	
Protein7	PLC beta 1/2/3	cytosol	Reactome DB_ID: 400005	Protein9	
Protein7	PLC beta 1/2/3	cytosol	Reactome DB_ID: 400005	Protein10	
SmallMolecule1	Ligands of FFAR1 (GPR40)	extracellular region	Reactome DB_ID: 400427	SmallMolecule2	
SmallMolecule1	Ligands of FFAR1 (GPR40)	extracellular region	Reactome DB_ID: 400427	SmallMolecule3	
SmallMolecule1	Ligands of FFAR1 (GPR40)	extracellular region	Reactome DB_ID: 400427	SmallMolecule4	
SmallMolecule1	Ligands of FFAR1 (GPR40)	extracellular region	Reactome DB_ID: 400427	SmallMolecule5	
SmallMolecule1	Ligands of FFAR1 (GPR40)	extracellular region	Reactome DB_ID: 400427	SmallMolecule6	
SmallMolecule7	Ligands of FFAR1 (GPR40)	plasma membrane	Reactome DB_ID: 1998756	SmallMolecule8	
SmallMolecule7	Ligands of FFAR1 (GPR40)	plasma membrane	Reactome DB_ID: 1998756	SmallMolecule9	
SmallMolecule7	Ligands of FFAR1 (GPR40)	plasma membrane	Reactome DB_ID: 1998756	SmallMolecule10	
SmallMolecule7	Ligands of FFAR1 (GPR40)	plasma membrane	Reactome DB_ID: 1998756	SmallMolecule11	
SmallMolecule7	Ligands of FFAR1 (GPR40)	plasma membrane	Reactome DB_ID: 1998756	SmallMolecule12	
