PhysicalEntity1	F-actin	cytosol	Reactome DB_ID: 201877	NA	
PhysicalEntity2	unknown protein	cytosol	Reactome DB_ID: 555063	NA	
PhysicalEntity3	microtubule	cytosol	Reactome DB_ID: 190599	NA	
Protein17	Dynamin-1/2/3	plasma membrane	Reactome DB_ID: 446847	Protein18	
Protein17	Dynamin-1/2/3	plasma membrane	Reactome DB_ID: 446847	Protein19	
Protein17	Dynamin-1/2/3	plasma membrane	Reactome DB_ID: 446847	Protein20	
Protein23	p90rsk	cytosol	Reactome DB_ID: 446849	Protein24	
Protein23	p90rsk	cytosol	Reactome DB_ID: 446849	Protein25	
Protein23	p90rsk	cytosol	Reactome DB_ID: 446849	Protein26	
Protein23	p90rsk	cytosol	Reactome DB_ID: 446849	Protein27	
Protein23	p90rsk	cytosol	Reactome DB_ID: 446849	Protein28	
Protein23	p90rsk	cytosol	Reactome DB_ID: 446849	Protein29	
Protein33	KIF4	cytosol	Reactome DB_ID: 445000	Protein34	
Protein33	KIF4	cytosol	Reactome DB_ID: 445000	Protein35	
Protein4	ERM	cytosol	Reactome DB_ID: 437353	Protein5	
Protein4	ERM	cytosol	Reactome DB_ID: 437353	Protein6	
Protein4	ERM	cytosol	Reactome DB_ID: 437353	Protein7	
Protein9	Adaptor protein complex 2 (AP-2) large adaptins	plasma membrane	Reactome DB_ID: 444999	Protein10	
Protein9	Adaptor protein complex 2 (AP-2) large adaptins	plasma membrane	Reactome DB_ID: 444999	Protein11	
