Complex1	MVD dimer	cytosol	Reactome DB_ID: 191341	Protein1	
Complex10	unfolded protein:(Glc)1 (GlcNAc)2 (Man)9 (Asn)1	endoplasmic reticulum lumen	Reactome DB_ID: 532672	PhysicalEntity1	
Complex10	unfolded protein:(Glc)1 (GlcNAc)2 (Man)9 (Asn)1	endoplasmic reticulum lumen	Reactome DB_ID: 532672	SmallMolecule54	
Complex11	glucosidase II	endoplasmic reticulum lumen	Reactome DB_ID: 532671	Protein45	
Complex11	glucosidase II	endoplasmic reticulum lumen	Reactome DB_ID: 532671	Protein46	
Complex12	unfolded protein:(Glc)1 (GlcNAc)2 (Man)9 (Asn)1:chaperone	endoplasmic reticulum lumen	Reactome DB_ID: 909542	Complex13	
Complex12	unfolded protein:(Glc)1 (GlcNAc)2 (Man)9 (Asn)1:chaperone	endoplasmic reticulum lumen	Reactome DB_ID: 909542	PhysicalEntity1	
Complex12	unfolded protein:(Glc)1 (GlcNAc)2 (Man)9 (Asn)1:chaperone	endoplasmic reticulum lumen	Reactome DB_ID: 909542	SmallMolecule54	
Complex13	CALR:CANX	endoplasmic reticulum lumen	Reactome DB_ID: 548862	Protein49	
Complex13	CALR:CANX	endoplasmic reticulum lumen	Reactome DB_ID: 548862	Protein48	
Complex14	unfolded protein:(Glc)1 (GlcNAc)2 (Man)9 (Asn)1:chaperone:ERp57	endoplasmic reticulum lumen	Reactome DB_ID: 909545	Complex13	
Complex14	unfolded protein:(Glc)1 (GlcNAc)2 (Man)9 (Asn)1:chaperone:ERp57	endoplasmic reticulum lumen	Reactome DB_ID: 909545	Protein50	
Complex14	unfolded protein:(Glc)1 (GlcNAc)2 (Man)9 (Asn)1:chaperone:ERp57	endoplasmic reticulum lumen	Reactome DB_ID: 909545	PhysicalEntity1	
Complex14	unfolded protein:(Glc)1 (GlcNAc)2 (Man)9 (Asn)1:chaperone:ERp57	endoplasmic reticulum lumen	Reactome DB_ID: 909545	SmallMolecule54	
Complex15	unfolded protein:glycan:chaperone:ERp57	endoplasmic reticulum lumen	Reactome DB_ID: 901040	Complex16	
Complex15	unfolded protein:glycan:chaperone:ERp57	endoplasmic reticulum lumen	Reactome DB_ID: 901040	Protein47	
Complex15	unfolded protein:glycan:chaperone:ERp57	endoplasmic reticulum lumen	Reactome DB_ID: 901040	Protein50	
Complex16	unfolded protein:glycan	endoplasmic reticulum lumen	Reactome DB_ID: 901017	PhysicalEntity2	
Complex16	unfolded protein:glycan	endoplasmic reticulum lumen	Reactome DB_ID: 901017	PhysicalEntity1	
Complex17	unfolded protein:glycan (no glucose)	endoplasmic reticulum lumen	Reactome DB_ID: 901021	PhysicalEntity1	
Complex17	unfolded protein:glycan (no glucose)	endoplasmic reticulum lumen	Reactome DB_ID: 901021	PhysicalEntity5	
Complex18	(un)folded protein:(GlcNAc)2 (Man)9	endoplasmic reticulum lumen	Reactome DB_ID: 909547	SmallMolecule58	
Complex18	(un)folded protein:(GlcNAc)2 (Man)9	endoplasmic reticulum lumen	Reactome DB_ID: 909547	PhysicalEntity1	
Complex19	(un)folded protein:(GlcNAc)2 (Man)9	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912283	PhysicalEntity7	
Complex19	(un)folded protein:(GlcNAc)2 (Man)9	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912283	SmallMolecule59	
Complex2	2xGNPNAT1	cytosol	Reactome DB_ID: 771697	Protein7	
Complex20	unfolded protein:(GlcNAc)2 (Man)8b	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912284	SmallMolecule60	
Complex20	unfolded protein:(GlcNAc)2 (Man)8b	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912284	PhysicalEntity7	
Complex21	unfolded protein:(GlcNAc)2 (Man)8c	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912295	SmallMolecule62	
Complex21	unfolded protein:(GlcNAc)2 (Man)8c	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912295	PhysicalEntity7	
Complex22	unfolded protein:(GlcNAc)2 (Man)8a	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912285	SmallMolecule63	
Complex22	unfolded protein:(GlcNAc)2 (Man)8a	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912285	PhysicalEntity7	
Complex23	unfolded protein:(GlcNAc)2 (Man)7aa	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912280	PhysicalEntity7	
Complex23	unfolded protein:(GlcNAc)2 (Man)7aa	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912280	SmallMolecule64	
Complex24	unfolded protein:(Glc)1 (GlcNAc)2 (Man)9	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912297	SmallMolecule66	
Complex24	unfolded protein:(Glc)1 (GlcNAc)2 (Man)9	endoplasmic reticulum quality control compartment	Reactome DB_ID: 912297	PhysicalEntity7	
Complex25	unfolded protein:(GlcNAc)2 (Man)7aa	cytosol	Reactome DB_ID: 1022117	PhysicalEntity8	
Complex25	unfolded protein:(GlcNAc)2 (Man)7aa	cytosol	Reactome DB_ID: 1022117	SmallMolecule68	
