Complex10	NOD1:iE-DAP oligomer	cytosol	Reactome DB_ID: 622306	Complex11	
Complex11	NOD1:iE-DAP	cytosol	Reactome DB_ID: 168408	Protein14	
Complex11	NOD1:iE-DAP	cytosol	Reactome DB_ID: 168408	SmallMolecule3	
Complex12	MDP:NOD2 oligomer	cytosol	Reactome DB_ID: 708350	Complex13	
Complex13	MDP:NOD2	cytosol	Reactome DB_ID: 168414	SmallMolecule4	
Complex13	MDP:NOD2	cytosol	Reactome DB_ID: 168414	Protein15	
Complex14	pUb-TRAF6:TAB1:TAB2/TAB3:free polyubiquitin chain : phospho-TAK1	cytosol	Reactome DB_ID: 847073	Protein7	
Complex14	pUb-TRAF6:TAB1:TAB2/TAB3:free polyubiquitin chain : phospho-TAK1	cytosol	Reactome DB_ID: 847073	Protein13	
Complex14	pUb-TRAF6:TAB1:TAB2/TAB3:free polyubiquitin chain : phospho-TAK1	cytosol	Reactome DB_ID: 847073	PhysicalEntity1	
Complex14	pUb-TRAF6:TAB1:TAB2/TAB3:free polyubiquitin chain : phospho-TAK1	cytosol	Reactome DB_ID: 847073	Protein18	
Complex14	pUb-TRAF6:TAB1:TAB2/TAB3:free polyubiquitin chain : phospho-TAK1	cytosol	Reactome DB_ID: 847073	Protein21	
Complex15	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	cytosol	Reactome DB_ID: 937060	PhysicalEntity1	
Complex15	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	cytosol	Reactome DB_ID: 937060	Complex16	
Complex15	p-IRAK2:K63-linked pUb oligo-TRAF6:free K63-linked pUb:p-TAK1complex	cytosol	Reactome DB_ID: 937060	Protein21	
Complex16	p-IRAK2:K63-linked pUb oligo-TRAF6	cytosol	Reactome DB_ID: 937064	Protein22	
Complex16	p-IRAK2:K63-linked pUb oligo-TRAF6	cytosol	Reactome DB_ID: 937064	Protein13	
Complex17	p38 MAPK:MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450269	Protein44	
Complex17	p38 MAPK:MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450269	Protein47	
Complex18	phospho-p38 MAPK: MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450213	Protein50	
Complex18	phospho-p38 MAPK: MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450213	Protein44	
Complex19	p-p38 MAPK:p-MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450254	Protein50	
Complex19	p-p38 MAPK:p-MAPKAPK2/3	nucleoplasm	Reactome DB_ID: 450254	Protein53	
Complex2	hp-IRAK1:K6-poly-Ub oligo-TRAF6:Activated TAK1 complex	cytosol	Reactome DB_ID: 450186	Complex3	
Complex2	hp-IRAK1:K6-poly-Ub oligo-TRAF6:Activated TAK1 complex	cytosol	Reactome DB_ID: 450186	Complex4	
Complex20	phospho-p38 MAPK : phospho MAPKAPK2 or phospho MaPKAPK3	cytosol	Reactome DB_ID: 450241	Protein56	
Complex20	phospho-p38 MAPK : phospho MAPKAPK2 or phospho MaPKAPK3	cytosol	Reactome DB_ID: 450241	Protein59	
Complex21	MEK1:ERK-1	cytosol	Reactome DB_ID: 109838	Protein64	
Complex21	MEK1:ERK-1	cytosol	Reactome DB_ID: 109838	Protein69	
Complex22	phospho-ERK-1:MEK1	cytosol	Reactome DB_ID: 109843	Protein64	
Complex22	phospho-ERK-1:MEK1	cytosol	Reactome DB_ID: 109843	Protein70	
Complex23	phospho-ERK-1 dimer	cytosol	Reactome DB_ID: 109844	Protein70	
Complex24	phospho-ERK-1 dimer	nucleoplasm	Reactome DB_ID: 109845	Protein71	
Complex25	IL6:Tyrosine phosphorylated hexameric IL-6 receptor:Activated JAKs:p-SHP2	plasma membrane	Reactome DB_ID: 1112753	Protein72	
Complex25	IL6:Tyrosine phosphorylated hexameric IL-6 receptor:Activated JAKs:p-SHP2	plasma membrane	Reactome DB_ID: 1112753	Complex26	
Complex26	Tyrosine phosphorylated IL6 receptor hexamer:Activated JAKs	plasma membrane	Reactome DB_ID: 1112594	Complex27	
Complex28	IL6:IL6RA:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112585	Complex29	
Complex28	IL6:IL6RA:Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112585	Complex30	
Complex29	Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112563	Protein73	
Complex29	Tyrosine phosphorylated IL6RB:Activated JAKs	plasma membrane	Reactome DB_ID: 1112563	Protein74	
Complex3	TAK1 complex	plasma membrane	Reactome DB_ID: 446878	Protein7	
Complex3	TAK1 complex	plasma membrane	Reactome DB_ID: 446878	Protein8	
Complex3	TAK1 complex	plasma membrane	Reactome DB_ID: 446878	Protein9	
