Complex10	Ubiquitinated AUF1 Tetramer	cytosol	Reactome DB_ID: 450417	Protein23	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein26	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein27	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein28	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein29	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein30	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein31	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein32	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein33	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein34	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein35	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein36	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein37	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein38	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein39	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein40	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein41	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein42	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein43	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein44	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein45	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein46	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein47	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein48	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein49	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein50	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein51	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein52	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein53	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein54	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein55	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein56	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein57	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein58	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein59	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein60	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein61	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein62	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein63	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein64	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein65	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein66	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein67	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein68	
Complex11	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein69	
Complex2	AUF1 p37 Dimer	cytosol	Reactome DB_ID: 450539	Protein1	
Complex3	Phosphorylated AUF1 p40 Dimer	cytosol	Reactome DB_ID: 450375	Protein2	
Complex4	AUF1 Tetramer: Destabilized mRNA Complex	cytosol	Reactome DB_ID: 450598	Complex5	
Complex4	AUF1 Tetramer: Destabilized mRNA Complex	cytosol	Reactome DB_ID: 450598	PhysicalEntity1	
Complex6	AUF1 p37 Tetramer	cytosol	Reactome DB_ID: 450414	Protein1	
Complex7	Phosphorylated AUF1 p40 Tetramer	cytosol	Reactome DB_ID: 450525	Protein2	
Complex8	AUF1 Complexed with Translation and Heat Shock Proteins	cytosol	Reactome DB_ID: 450623	Protein3	
Complex8	AUF1 Complexed with Translation and Heat Shock Proteins	cytosol	Reactome DB_ID: 450623	Complex4	
Complex8	AUF1 Complexed with Translation and Heat Shock Proteins	cytosol	Reactome DB_ID: 450623	Protein4	
Complex8	AUF1 Complexed with Translation and Heat Shock Proteins	cytosol	Reactome DB_ID: 450623	Protein5	
Complex8	AUF1 Complexed with Translation and Heat Shock Proteins	cytosol	Reactome DB_ID: 450623	Protein6	
Complex8	AUF1 Complexed with Translation and Heat Shock Proteins	cytosol	Reactome DB_ID: 450623	Protein7	
Complex9	Ubiquitinated AUF1 Tetramer: Destabilized mRNA Complex	cytosol	Reactome DB_ID: 450458	PhysicalEntity1	
Complex9	Ubiquitinated AUF1 Tetramer: Destabilized mRNA Complex	cytosol	Reactome DB_ID: 450458	Complex10	
