Pathway1	PathwayStep46	Regulation of mitotic cell cycle	
Pathway10	PathwayStep31	APC/C:Cdc20 mediated degradation of mitotic proteins	
Pathway10	PathwayStep23	APC/C:Cdc20 mediated degradation of mitotic proteins	
Pathway10	PathwayStep27	APC/C:Cdc20 mediated degradation of mitotic proteins	
Pathway11	PathwayStep25	APC/C:Cdc20 mediated degradation of Cyclin B	
Pathway11	PathwayStep26	APC/C:Cdc20 mediated degradation of Cyclin B	
Pathway11	PathwayStep24	APC/C:Cdc20 mediated degradation of Cyclin B	
Pathway12	PathwayStep29	APC/C:Cdc20 mediated degradation of Securin	
Pathway12	PathwayStep28	APC/C:Cdc20 mediated degradation of Securin	
Pathway12	PathwayStep30	APC/C:Cdc20 mediated degradation of Securin	
Pathway13	PathwayStep35	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	
Pathway13	PathwayStep36	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	
Pathway13	PathwayStep34	Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	
Pathway14	PathwayStep38	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	
Pathway14	PathwayStep41	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	
Pathway14	PathwayStep39	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	
Pathway14	PathwayStep40	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	
Pathway15	PathwayStep43	Autodegradation of Cdh1 by Cdh1:APC/C	
Pathway15	PathwayStep44	Autodegradation of Cdh1 by Cdh1:APC/C	
Pathway2	PathwayStep19	APC/C-mediated degradation of cell cycle proteins	
Pathway2	PathwayStep45	APC/C-mediated degradation of cell cycle proteins	
Pathway2	PathwayStep33	APC/C-mediated degradation of cell cycle proteins	
Pathway2	PathwayStep42	APC/C-mediated degradation of cell cycle proteins	
Pathway2	PathwayStep37	APC/C-mediated degradation of cell cycle proteins	
Pathway3	PathwayStep2	Regulation of APC/C activators between G1/S and early anaphase	
Pathway3	PathwayStep8	Regulation of APC/C activators between G1/S and early anaphase	
Pathway3	PathwayStep3	Regulation of APC/C activators between G1/S and early anaphase	
Pathway3	PathwayStep4	Regulation of APC/C activators between G1/S and early anaphase	
Pathway3	PathwayStep1	Regulation of APC/C activators between G1/S and early anaphase	
Pathway3	PathwayStep13	Regulation of APC/C activators between G1/S and early anaphase	
Pathway3	PathwayStep5	Regulation of APC/C activators between G1/S and early anaphase	
Pathway3	PathwayStep12	Regulation of APC/C activators between G1/S and early anaphase	
Pathway3	PathwayStep18	Regulation of APC/C activators between G1/S and early anaphase	
Pathway4	PathwayStep6	Phosphorylation of Emi1	
Pathway4	PathwayStep7	Phosphorylation of Emi1	
Pathway5	PathwayStep10	SCF-beta-TrCP mediated degradation of Emi1	
Pathway5	PathwayStep11	SCF-beta-TrCP mediated degradation of Emi1	
Pathway5	PathwayStep9	SCF-beta-TrCP mediated degradation of Emi1	
Pathway6	PathwayStep14	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	
Pathway6	PathwayStep17	Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components	
Pathway7	PathwayStep15	Inactivation of APC/C via direct inhibition of the APC/C complex	
Pathway7	PathwayStep16	Inactivation of APC/C via direct inhibition of the APC/C complex	
Pathway8	PathwayStep32	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	
Pathway8	PathwayStep22	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	
Pathway9	PathwayStep20	Phosphorylation of the APC/C	
Pathway9	PathwayStep21	Phosphorylation of the APC/C	
