PhysicalEntity1	rDNA Promoter	nucleoplasm	Reactome DB_ID: 73682	NA	
PhysicalEntity10	DNA with RNA Polymerase III Type 2 Open Promoter	nucleoplasm	Reactome DB_ID: 112134	NA	
PhysicalEntity11	DNA with RNA Polymerase III Type 3 Open Promoter	nucleoplasm	Reactome DB_ID: 112135	NA	
PhysicalEntity12	Polymerase III gene DNA with transcription bubble (single-stranded region)	nucleoplasm	Reactome DB_ID: 113443	NA	
PhysicalEntity13	elongating pre-mRNA Pol III transcript	nucleoplasm	Reactome DB_ID: 111987	NA	
PhysicalEntity14	elongating pre-mRNA Pol III transcript plus 1 nucleotide	nucleoplasm	Reactome DB_ID: 113704	NA	
PhysicalEntity15	DNA with RNA Polymerase III Type 1 Closed Promoter	nucleoplasm	Reactome DB_ID: 76050	NA	
PhysicalEntity16	DNA with RNA Polymerase III Type 2 Closed Promoter	nucleoplasm	Reactome DB_ID: 83747	NA	
PhysicalEntity17	DNA with RNA Polymerase III Type 3 Closed Promoter	nucleoplasm	Reactome DB_ID: 83752	NA	
PhysicalEntity18	paused pre-mRNA Pol III transcript	nucleoplasm	Reactome DB_ID: 112475	NA	
PhysicalEntity19	Polymerase III gene DNA with a termination site	nucleoplasm	Reactome DB_ID: 113448	NA	
PhysicalEntity2	dsDNA with 5-mC	nucleoplasm	Reactome DB_ID: 212172	NA	
PhysicalEntity20	released pre-mRNA Pol III transcript	nucleoplasm	Reactome DB_ID: 112478	NA	
PhysicalEntity21	mitochondrial DNA promoter	mitochondrial matrix	Reactome DB_ID: 163305	NA	
PhysicalEntity22	mitochondrial transcription termination sequence	mitochondrial matrix	Reactome DB_ID: 164569	NA	
PhysicalEntity3	Sal Box	nucleoplasm	Reactome DB_ID: 74975	NA	
PhysicalEntity4	elongating pre-rRNA transcript	nucleoplasm	Reactome DB_ID: 74985	NA	
PhysicalEntity5	DNA	nucleoplasm	Reactome DB_ID: 29428	NA	
PhysicalEntity6	nascent pre-rRNA transcript	nucleoplasm	Reactome DB_ID: 74978	NA	
PhysicalEntity7	elongating pre-mRNA Pol III oligonucleotide	nucleoplasm	Reactome DB_ID: 111980	NA	
PhysicalEntity8	DNA with RNA Polymerase III Type 1 Open Promoter	nucleoplasm	Reactome DB_ID: 112051	NA	
PhysicalEntity9	released pre-mRNA Pol III oligonucleotide	nucleoplasm	Reactome DB_ID: 111984	NA	
Protein2	Histone H3	nucleoplasm	Reactome DB_ID: 212293	Protein3	
Protein2	Histone H3	nucleoplasm	Reactome DB_ID: 212293	Protein4	
Protein2	Histone H3	nucleoplasm	Reactome DB_ID: 212293	Protein5	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein22	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein23	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein24	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein25	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein26	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein27	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein28	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein29	
Protein21	Histone H2A	nucleoplasm	Reactome DB_ID: 181899	Protein30	
Protein38	PCAF	nucleoplasm	Reactome DB_ID: 350078	Protein39	
Protein38	PCAF	nucleoplasm	Reactome DB_ID: 350078	Protein40	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein7	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein8	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein9	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein10	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein11	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein12	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein13	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein14	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein15	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein16	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein17	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein18	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein19	
Protein6	Histone H2B	nucleoplasm	Reactome DB_ID: 181911	Protein20	
Protein60	Histone H3 dimethylated at lysine-9	nucleoplasm	Reactome DB_ID: 427406	Protein61	
Protein60	Histone H3 dimethylated at lysine-9	nucleoplasm	Reactome DB_ID: 427406	Protein62	
Protein60	Histone H3 dimethylated at lysine-9	nucleoplasm	Reactome DB_ID: 427406	Protein63	
Protein83	RPC7/RPC7-like	nucleoplasm	Reactome DB_ID: 1964432	Protein84	
Protein83	RPC7/RPC7-like	nucleoplasm	Reactome DB_ID: 1964432	Protein85	
SmallMolecule3	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule1	
SmallMolecule3	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule4	
SmallMolecule3	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule5	
SmallMolecule3	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule6	
