Pathway1	PathwayStep15	Myogenesis	
Pathway2	PathwayStep5	CDO in myogenesis	
Pathway2	PathwayStep7	CDO in myogenesis	
Pathway2	PathwayStep3	CDO in myogenesis	
Pathway2	PathwayStep11	CDO in myogenesis	
Pathway2	PathwayStep8	CDO in myogenesis	
Pathway2	PathwayStep4	CDO in myogenesis	
Pathway2	PathwayStep13	CDO in myogenesis	
Pathway2	PathwayStep10	CDO in myogenesis	
Pathway2	PathwayStep12	CDO in myogenesis	
Pathway2	PathwayStep6	CDO in myogenesis	
Pathway2	PathwayStep2	CDO in myogenesis	
Pathway2	PathwayStep1	CDO in myogenesis	
Pathway2	PathwayStep14	CDO in myogenesis	
Pathway2	PathwayStep9	CDO in myogenesis	
