Complex1	dimerized CEL:bile salt complex	extracellular region	Reactome DB_ID: 192480	Complex2	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	SmallMolecule1	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	Complex11	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	SmallMolecule15	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	Protein18	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	SmallMolecule3	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	Protein19	
Complex10	nascent chylomicron	extracellular region	Reactome DB_ID: 174791	Protein20	
Complex100	PPARA:RXRA Coactivator Complex	nucleoplasm	Reactome DB_ID: 400154	Protein166	
Complex100	PPARA:RXRA Coactivator Complex	nucleoplasm	Reactome DB_ID: 400154	Protein174	
Complex100	PPARA:RXRA Coactivator Complex	nucleoplasm	Reactome DB_ID: 400154	Complex101	
Complex100	PPARA:RXRA Coactivator Complex	nucleoplasm	Reactome DB_ID: 400154	Protein165	
Complex101	Activated PPARA:RXRA Heterodimer	nucleoplasm	Reactome DB_ID: 422412	PhysicalEntity2	
Complex101	Activated PPARA:RXRA Heterodimer	nucleoplasm	Reactome DB_ID: 422412	Complex102	
Complex101	Activated PPARA:RXRA Heterodimer	nucleoplasm	Reactome DB_ID: 422412	Protein164	
Complex102	PPARA: Fatty Acid Complex (Activated PPARA)	nucleoplasm	Reactome DB_ID: 422413	Protein163	
Complex102	PPARA: Fatty Acid Complex (Activated PPARA)	nucleoplasm	Reactome DB_ID: 422413	SmallMolecule168	
Complex103	SREBP1A/2:NF-Y:HMGCR gene	nucleoplasm	Reactome DB_ID: 2426128	Complex104	
Complex103	SREBP1A/2:NF-Y:HMGCR gene	nucleoplasm	Reactome DB_ID: 2426128	Complex105	
Complex103	SREBP1A/2:NF-Y:HMGCR gene	nucleoplasm	Reactome DB_ID: 2426128	Dna1	
Complex104	NF-Y	nucleoplasm	Reactome DB_ID: 381204	Protein187	
Complex104	NF-Y	nucleoplasm	Reactome DB_ID: 381204	Protein186	
Complex104	NF-Y	nucleoplasm	Reactome DB_ID: 381204	Protein185	
Complex105	SREBP1A/2 Dimer	nucleoplasm	Reactome DB_ID: 2065551	Protein188	
Complex106	ALAS1 gene:NRF1:PPARGC1B	nucleoplasm	Reactome DB_ID: 2466384	Protein196	
Complex106	ALAS1 gene:NRF1:PPARGC1B	nucleoplasm	Reactome DB_ID: 2466384	Protein197	
Complex106	ALAS1 gene:NRF1:PPARGC1B	nucleoplasm	Reactome DB_ID: 2466384	Dna2	
Complex107	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein203	
Complex107	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein178	
Complex107	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Complex110	
Complex107	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein175	
Complex107	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Complex108	
Complex107	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein181	
Complex107	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein179	
Complex107	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein201	
Complex107	PPARG:Fatty Acid:RXRA:Mediator:Coactivator Complex	nucleoplasm	Reactome DB_ID: 381367	Protein204	
Complex108	Activated PPARG:RXRA	nucleoplasm	Reactome DB_ID: 2026078	Complex109	
Complex108	Activated PPARG:RXRA	nucleoplasm	Reactome DB_ID: 2026078	Protein164	
Complex109	PPARG:Fatty Acid Ligand	nucleoplasm	Reactome DB_ID: 2026077	Protein202	
Complex109	PPARG:Fatty Acid Ligand	nucleoplasm	Reactome DB_ID: 2026077	SmallMolecule174	
Complex11	ApoB-48:TG:PL complex	extracellular region	Reactome DB_ID: 174729	Protein17	
Complex11	ApoB-48:TG:PL complex	extracellular region	Reactome DB_ID: 174729	SmallMolecule15	
Complex11	ApoB-48:TG:PL complex	extracellular region	Reactome DB_ID: 174729	SmallMolecule36	
Complex110	Mediator Complex (consensus)	nucleoplasm	Reactome DB_ID: 556786	Protein213	
