Pathway1	PathwayStep26	M/G1 Transition	
Pathway2	PathwayStep16	DNA Replication Pre-Initiation	
Pathway2	PathwayStep25	DNA Replication Pre-Initiation	
Pathway3	PathwayStep7	Assembly of the pre-replicative complex	
Pathway3	PathwayStep10	Assembly of the pre-replicative complex	
Pathway3	PathwayStep15	Assembly of the pre-replicative complex	
Pathway3	PathwayStep6	Assembly of the pre-replicative complex	
Pathway3	PathwayStep14	Assembly of the pre-replicative complex	
Pathway4	PathwayStep5	Assembly of the ORC complex at the origin of replication	
Pathway4	PathwayStep1	Assembly of the ORC complex at the origin of replication	
Pathway4	PathwayStep2	Assembly of the ORC complex at the origin of replication	
Pathway4	PathwayStep3	Assembly of the ORC complex at the origin of replication	
Pathway4	PathwayStep4	Assembly of the ORC complex at the origin of replication	
Pathway5	PathwayStep8	CDC6 association with the ORC:origin complex	
Pathway5	PathwayStep9	CDC6 association with the ORC:origin complex	
Pathway6	PathwayStep12	CDT1 association with the CDC6:ORC:origin complex	
Pathway6	PathwayStep11	CDT1 association with the CDC6:ORC:origin complex	
Pathway6	PathwayStep13	CDT1 association with the CDC6:ORC:origin complex	
Pathway7	PathwayStep21	Activation of the pre-replicative complex	
Pathway7	PathwayStep23	Activation of the pre-replicative complex	
Pathway7	PathwayStep19	Activation of the pre-replicative complex	
Pathway7	PathwayStep17	Activation of the pre-replicative complex	
Pathway7	PathwayStep24	Activation of the pre-replicative complex	
Pathway7	PathwayStep18	Activation of the pre-replicative complex	
Pathway7	PathwayStep22	Activation of the pre-replicative complex	
Pathway7	PathwayStep20	Activation of the pre-replicative complex	
