PhysicalEntity1	cyclin	nucleoplasm	Reactome DB_ID: 68379	NA	
PhysicalEntity2	anaphase-promoting complex (APC)	cytosol	Reactome DB_ID: 69007	NA	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein6	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein7	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein8	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein9	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein10	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein11	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein12	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein13	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein14	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein15	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein16	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein17	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein18	
Protein5	Ub	cytosol	Reactome DB_ID: 113595	Protein19	
