PhysicalEntity1	glycogen synthase kinase-3 beta	nucleoplasm	Reactome DB_ID: 75818	NA	
PhysicalEntity2	Ubiquitin ligase	cytosol	Reactome DB_ID: 69593	NA	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein7	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein8	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein9	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein10	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein11	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein12	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein13	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein14	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein15	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein16	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein17	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein18	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein19	
Protein6	Ub	cytosol	Reactome DB_ID: 113595	Protein20	
