Pathway1	PathwayStep12	G1 Phase	
Pathway2	PathwayStep3	Cyclin D associated events in G1	
Pathway2	PathwayStep5	Cyclin D associated events in G1	
Pathway2	PathwayStep6	Cyclin D associated events in G1	
Pathway2	PathwayStep10	Cyclin D associated events in G1	
Pathway2	PathwayStep8	Cyclin D associated events in G1	
Pathway2	PathwayStep11	Cyclin D associated events in G1	
Pathway2	PathwayStep2	Cyclin D associated events in G1	
Pathway2	PathwayStep9	Cyclin D associated events in G1	
Pathway2	PathwayStep4	Cyclin D associated events in G1	
Pathway2	PathwayStep1	Cyclin D associated events in G1	
Pathway2	PathwayStep7	Cyclin D associated events in G1	
