PhysicalEntity1	ARS	nucleoplasm	Reactome DB_ID: 68419	NA	
PhysicalEntity10	Flap	nucleoplasm	Reactome DB_ID: 68454	NA	
PhysicalEntity11	Remaining Flap	nucleoplasm	Reactome DB_ID: 68467	NA	
PhysicalEntity12	Okazaki fragment minus Flap	nucleoplasm	Reactome DB_ID: 68469	NA	
PhysicalEntity13	ligated okazaki fragment	nucleoplasm	Reactome DB_ID: 69172	NA	
PhysicalEntity2	RNA primer	nucleoplasm	Reactome DB_ID: 68422	NA	
PhysicalEntity3	DNA primer	nucleoplasm	Reactome DB_ID: 68424	NA	
PhysicalEntity4	cyclin	nucleoplasm	Reactome DB_ID: 68379	NA	
PhysicalEntity5	anaphase-promoting complex (APC)	cytosol	Reactome DB_ID: 69007	NA	
PhysicalEntity6	Replication Fork	nucleoplasm	Reactome DB_ID: 169515	NA	
PhysicalEntity7	Unwound fork	nucleoplasm	Reactome DB_ID: 169509	NA	
PhysicalEntity8	PSF3p	nucleoplasm	Reactome DB_ID: 176944	NA	
PhysicalEntity9	Okazaki fragment	nucleoplasm	Reactome DB_ID: 68452	NA	
Protein23	CCNA	nucleoplasm	Reactome DB_ID: 75202	Protein24	
Protein23	CCNA	nucleoplasm	Reactome DB_ID: 75202	Protein25	
Protein27	Cyclin A:Cdk1 substrate proteins	nucleoplasm	Reactome DB_ID: 187963	Protein28	
Protein27	Cyclin A:Cdk1 substrate proteins	nucleoplasm	Reactome DB_ID: 187963	Protein29	
Protein27	Cyclin A:Cdk1 substrate proteins	nucleoplasm	Reactome DB_ID: 187963	Protein30	
Protein27	Cyclin A:Cdk1 substrate proteins	nucleoplasm	Reactome DB_ID: 187963	Protein31	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein33	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein34	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein35	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein36	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein37	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein38	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein39	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein40	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein41	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein42	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein43	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein44	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein45	
Protein32	ubiquitin	nucleoplasm	Reactome DB_ID: 68524	Protein46	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein48	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein49	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein50	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein51	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein52	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein53	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein54	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein55	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein56	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein57	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein58	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein59	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein60	
Protein47	Ub	cytosol	Reactome DB_ID: 113595	Protein61	
SmallMolecule1	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule2	
SmallMolecule1	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule3	
SmallMolecule1	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule4	
SmallMolecule1	NTP	nucleoplasm	Reactome DB_ID: 30595	SmallMolecule5	
