Pathway1	PathwayStep15	p53-Dependent G1/S DNA damage checkpoint	
Pathway2	PathwayStep13	p53-Dependent G1 DNA Damage Response	
Pathway2	PathwayStep9	p53-Dependent G1 DNA Damage Response	
Pathway2	PathwayStep14	p53-Dependent G1 DNA Damage Response	
Pathway3	PathwayStep8	Stabilization of p53	
Pathway3	PathwayStep1	Stabilization of p53	
Pathway3	PathwayStep2	Stabilization of p53	
Pathway4	PathwayStep5	Autodegradation of the E3 ubiquitin ligase COP1	
Pathway4	PathwayStep6	Autodegradation of the E3 ubiquitin ligase COP1	
Pathway4	PathwayStep3	Autodegradation of the E3 ubiquitin ligase COP1	
Pathway4	PathwayStep4	Autodegradation of the E3 ubiquitin ligase COP1	
Pathway4	PathwayStep7	Autodegradation of the E3 ubiquitin ligase COP1	
Pathway5	PathwayStep12	Transcriptional activation of p53 responsive genes  	
Pathway6	PathwayStep11	Transcriptional  activation of  cell cycle inhibitor p21 	
Pathway6	PathwayStep10	Transcriptional  activation of  cell cycle inhibitor p21 	
