Complex1	TP53 Tetramer	nucleoplasm	Reactome DB_ID: 3209194	Protein1	
Complex2	p-S15-TP53 Tetramer	nucleoplasm	Reactome DB_ID: 349474	Protein2	
Complex3	p-S387-RFWD2:p-S15-TP53	nucleoplasm	Reactome DB_ID: 349420	Protein7	
Complex3	p-S387-RFWD2:p-S15-TP53	nucleoplasm	Reactome DB_ID: 349420	Complex2	
Complex4	ubiquitinated phospho-COP1(ser-387)	cytosol	Reactome DB_ID: 349433	Protein9	
Complex4	ubiquitinated phospho-COP1(ser-387)	cytosol	Reactome DB_ID: 349433	Protein8	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein24	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein25	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein26	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein27	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein28	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein29	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein30	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein31	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein32	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein33	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein34	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein35	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein36	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein37	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein38	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein39	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein40	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein41	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein42	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein43	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein44	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein45	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein46	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein47	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein48	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein49	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein50	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein51	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein52	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein53	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein54	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein55	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein56	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein57	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein58	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein59	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein60	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein61	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein62	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein63	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein64	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein65	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein66	
Complex5	26S proteasome	cytosol	Reactome DB_ID: 68819	Protein67	
Complex6	p-15-TP53 Tetramer:CDKN1A Gene	nucleoplasm	Reactome DB_ID: 3786257	Dna1	
Complex6	p-15-TP53 Tetramer:CDKN1A Gene	nucleoplasm	Reactome DB_ID: 3786257	Complex2	
Complex7	Cyclin E:Cdk2 complexes	nucleoplasm	Reactome DB_ID: 68374	Protein69	
Complex7	Cyclin E:Cdk2 complexes	nucleoplasm	Reactome DB_ID: 68374	Protein70	
Complex8	Cyclin E:Cdk2:p21/p27 complex	nucleoplasm	Reactome DB_ID: 68376	Complex7	
Complex8	Cyclin E:Cdk2:p21/p27 complex	nucleoplasm	Reactome DB_ID: 68376	Protein73	
