PhysicalEntity1	Chk1/Ckk2(Cds1)	nucleoplasm	Reactome DB_ID: 75807	NA	
PhysicalEntity2	Ubiquitin ligase	cytosol	Reactome DB_ID: 69593	NA	
PhysicalEntity3	Amino Acid	cytosol	Reactome DB_ID: 69599	NA	
Protein70	Cyclin E	nucleoplasm	Reactome DB_ID: 187493	Protein71	
Protein70	Cyclin E	nucleoplasm	Reactome DB_ID: 187493	Protein72	
Protein73	p21/p27	nucleoplasm	Reactome DB_ID: 182558	Protein68	
Protein73	p21/p27	nucleoplasm	Reactome DB_ID: 182558	Protein74	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein10	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein11	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein12	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein13	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein14	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein15	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein16	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein17	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein18	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein19	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein20	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein21	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein22	
Protein9	Ub	cytosol	Reactome DB_ID: 113595	Protein23	
