BiochemicalReaction1	alpha-D-glucose (extracellular) <=> alpha-D-glucose (cytosol)	SmallMolecule1	SmallMolecule2	
BiochemicalReaction10	glucokinase [nucleoplasm] => glucokinase [cytosol]	Protein11	Protein6	
BiochemicalReaction11	Cytosolic glucose 6-phosphate is exchanged for orthophosphate from the endoplasmic reticulum lumen by SLC37A4	SmallMolecule11	SmallMolecule12	
BiochemicalReaction11	Cytosolic glucose 6-phosphate is exchanged for orthophosphate from the endoplasmic reticulum lumen by SLC37A4	SmallMolecule6	SmallMolecule12	
BiochemicalReaction11	Cytosolic glucose 6-phosphate is exchanged for orthophosphate from the endoplasmic reticulum lumen by SLC37A4	SmallMolecule6	SmallMolecule13	
BiochemicalReaction11	Cytosolic glucose 6-phosphate is exchanged for orthophosphate from the endoplasmic reticulum lumen by SLC37A4	SmallMolecule11	SmallMolecule13	
BiochemicalReaction12	G6PC hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (liver)	SmallMolecule14	SmallMolecule15	
BiochemicalReaction12	G6PC hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (liver)	SmallMolecule13	SmallMolecule15	
BiochemicalReaction12	G6PC hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (liver)	SmallMolecule13	SmallMolecule11	
BiochemicalReaction12	G6PC hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (liver)	SmallMolecule14	SmallMolecule11	
BiochemicalReaction13	G6PC2 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (islet)	SmallMolecule14	SmallMolecule15	
BiochemicalReaction13	G6PC2 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (islet)	SmallMolecule13	SmallMolecule15	
BiochemicalReaction13	G6PC2 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (islet)	SmallMolecule13	SmallMolecule11	
BiochemicalReaction13	G6PC2 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (islet)	SmallMolecule14	SmallMolecule11	
BiochemicalReaction14	G6PC3 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (ubiquitous)	SmallMolecule14	SmallMolecule15	
BiochemicalReaction14	G6PC3 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (ubiquitous)	SmallMolecule13	SmallMolecule15	
BiochemicalReaction14	G6PC3 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (ubiquitous)	SmallMolecule13	SmallMolecule11	
BiochemicalReaction14	G6PC3 hydrolyzes glucose 6-phosphate to form glucose and orthophosphate (ubiquitous)	SmallMolecule14	SmallMolecule11	
BiochemicalReaction15	Efflux of glucose from the endoplasmic reticulum	SmallMolecule15	SmallMolecule1	
BiochemicalReaction2	Glucose is secreted across the plasma membrane	SmallMolecule2	SmallMolecule1	
BiochemicalReaction3	GLUT1 + ATP <=> GLUT1:ATP	SmallMolecule3	Complex6	
BiochemicalReaction3	GLUT1 + ATP <=> GLUT1:ATP	Complex2	Complex6	
BiochemicalReaction4	GLUT1:ATP <=> GLUT1 + ATP	Complex6	SmallMolecule3	
BiochemicalReaction4	GLUT1:ATP <=> GLUT1 + ATP	Complex6	Complex2	
BiochemicalReaction5	alpha-D-Glucose + ATP => alpha-D-glucose 6-phosphate + ADP	SmallMolecule2	SmallMolecule5	
BiochemicalReaction5	alpha-D-Glucose + ATP => alpha-D-glucose 6-phosphate + ADP	SmallMolecule3	SmallMolecule5	
BiochemicalReaction5	alpha-D-Glucose + ATP => alpha-D-glucose 6-phosphate + ADP	SmallMolecule3	SmallMolecule6	
BiochemicalReaction5	alpha-D-Glucose + ATP => alpha-D-glucose 6-phosphate + ADP	SmallMolecule2	SmallMolecule6	
BiochemicalReaction6	glucokinase (GCK1) + glucokinase regulatory protein (GKRP) <=> GCK1:GKRP complex	Protein6	Complex7	
BiochemicalReaction6	glucokinase (GCK1) + glucokinase regulatory protein (GKRP) <=> GCK1:GKRP complex	Protein10	Complex7	
BiochemicalReaction7	cytosolic GCK1:GKRP complex <=> glucokinase (GCK1) + glucokinase regulatory protein (GKRP)	Complex7	Protein6	
BiochemicalReaction7	cytosolic GCK1:GKRP complex <=> glucokinase (GCK1) + glucokinase regulatory protein (GKRP)	Complex7	Protein10	
BiochemicalReaction8	GCK1:GKRP [cytosol] => GCK1:GKRP [nucleoplasm]	Complex7	Complex8	
BiochemicalReaction9	Dissociation of the nucleoplasmic GCK1:GKRP complex	Complex8	Protein11	
BiochemicalReaction9	Dissociation of the nucleoplasmic GCK1:GKRP complex	Complex8	Protein12	
