Complex1	BCAT1 dimer	cytosol	Reactome DB_ID: 70699	Protein1	
Complex10	ACADSB tetramer	mitochondrial matrix	Reactome DB_ID: 70797	Protein11	
Complex10	ACADSB tetramer	mitochondrial matrix	Reactome DB_ID: 70797	SmallMolecule29	
Complex11	HADH2 tetramer	mitochondrial matrix	Reactome DB_ID: 508381	Protein12	
Complex12	ACAT1 tetramer	mitochondrial matrix	Reactome DB_ID: 70839	Protein13	
Complex13	ACAD8 tetramer	mitochondrial matrix	Reactome DB_ID: 70856	Protein14	
Complex13	ACAD8 tetramer	mitochondrial matrix	Reactome DB_ID: 70856	SmallMolecule29	
Complex14	HIBADH tetramer	mitochondrial matrix	Reactome DB_ID: 70883	Protein16	
Complex2	BCAT2 dimer	mitochondrial matrix	Reactome DB_ID: 70704	Protein2	
Complex3	branched-chain alpha-ketoacid dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70019	Complex4	
Complex3	branched-chain alpha-ketoacid dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70019	Complex6	
Complex3	branched-chain alpha-ketoacid dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70019	Protein6	
Complex4	alpha-keto acid dehydrogenase E3 homodimer	mitochondrial matrix	Reactome DB_ID: 69980	Complex5	
Complex5	alpha-keto acid dehydrogenase E3 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69979	Protein3	
Complex5	alpha-keto acid dehydrogenase E3 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69979	SmallMolecule29	
Complex6	branched-chain alpha-ketoacid dehydrogenase E1 complex	mitochondrial matrix	Reactome DB_ID: 70016	Protein4	
Complex6	branched-chain alpha-ketoacid dehydrogenase E1 complex	mitochondrial matrix	Reactome DB_ID: 70016	SmallMolecule30	
Complex6	branched-chain alpha-ketoacid dehydrogenase E1 complex	mitochondrial matrix	Reactome DB_ID: 70016	Protein5	
Complex7	IVD tetramer	mitochondrial matrix	Reactome DB_ID: 70730	Protein7	
Complex7	IVD tetramer	mitochondrial matrix	Reactome DB_ID: 70730	SmallMolecule29	
Complex8	6x(Btn-MCCC1:MCCC2)	mitochondrial matrix	Reactome DB_ID: 70770	Protein8	
Complex8	6x(Btn-MCCC1:MCCC2)	mitochondrial matrix	Reactome DB_ID: 70770	Protein9	
Complex9	AUH hexamer	mitochondrial matrix	Reactome DB_ID: 508309	Protein10	
