Protein1	BCAT1	UniProt:P54687 BCAT1	Reactome DB_ID: 70698	cytosol	
Protein10	AUH	UniProt:Q13825 AUH	Reactome DB_ID: 70775	mitochondrial matrix	
Protein11	SBCAD	UniProt:P45954 ACADSB	Reactome DB_ID: 70796	mitochondrial matrix	
Protein12	HADH2	UniProt:Q99714 HSD17B10	Reactome DB_ID: 70831	mitochondrial matrix	
Protein13	ACAT1	UniProt:P24752 ACAT1	Reactome DB_ID: 70838	mitochondrial matrix	
Protein14	ACAD8	UniProt:Q9UKU7 ACAD8	Reactome DB_ID: 70855	mitochondrial matrix	
Protein15	HIBCH	UniProt:Q6NVY1 HIBCH	Reactome DB_ID: 70872	mitochondrial matrix	
Protein16	HIBADH	UniProt:P31937 HIBADH	Reactome DB_ID: 70882	mitochondrial matrix	
Protein17	MMSDH	UniProt:Q02252 ALDH6A1	Reactome DB_ID: 70890	mitochondrial matrix	
Protein2	BCAT2	UniProt:O15382 BCAT2	Reactome DB_ID: 70703	mitochondrial matrix	
Protein3	DLD	UniProt:P09622 DLD	Reactome DB_ID: 69978	mitochondrial matrix	
Protein4	BCKDHB	UniProt:P21953 BCKDHB	Reactome DB_ID: 70015	mitochondrial matrix	
Protein5	BCKDHA	UniProt:P12694 BCKDHA	Reactome DB_ID: 70014	mitochondrial matrix	
Protein6	DBT	UniProt:P11182 DBT	Reactome DB_ID: 70017	mitochondrial matrix	
Protein7	IVD	UniProt:P26440 IVD	Reactome DB_ID: 70729	mitochondrial matrix	
Protein8	MCCC2	UniProt:Q9HCC0 MCCC2	Reactome DB_ID: 70769	mitochondrial matrix	
Protein9	Btn-MCCC1	UniProt:Q96RQ3 MCCC1	Reactome DB_ID: 70748	mitochondrial matrix	
