PhysicalEntity1	enoyl-CoA hydratase	mitochondrial matrix	Reactome DB_ID: 70827	NA	
SmallMolecule1	Leu, Ile, Val	cytosol	Reactome DB_ID: 508182	SmallMolecule2	
SmallMolecule1	Leu, Ile, Val	cytosol	Reactome DB_ID: 508182	SmallMolecule3	
SmallMolecule1	Leu, Ile, Val	cytosol	Reactome DB_ID: 508182	SmallMolecule4	
SmallMolecule12	Leu, Ile, Val	mitochondrial matrix	Reactome DB_ID: 508190	SmallMolecule13	
SmallMolecule12	Leu, Ile, Val	mitochondrial matrix	Reactome DB_ID: 508190	SmallMolecule14	
SmallMolecule12	Leu, Ile, Val	mitochondrial matrix	Reactome DB_ID: 508190	SmallMolecule15	
SmallMolecule16	a-ketoisocaproate, a-keto b-methylvalerate, a-ketoisovalerate	mitochondrial matrix	Reactome DB_ID: 508181	SmallMolecule17	
SmallMolecule16	a-ketoisocaproate, a-keto b-methylvalerate, a-ketoisovalerate	mitochondrial matrix	Reactome DB_ID: 508181	SmallMolecule18	
SmallMolecule16	a-ketoisocaproate, a-keto b-methylvalerate, a-ketoisovalerate	mitochondrial matrix	Reactome DB_ID: 508181	SmallMolecule19	
SmallMolecule23	isovaleryl-CoA, a-methylbutyryl-CoA, isobutyryl-CoA	mitochondrial matrix	Reactome DB_ID: 508261	SmallMolecule24	
SmallMolecule23	isovaleryl-CoA, a-methylbutyryl-CoA, isobutyryl-CoA	mitochondrial matrix	Reactome DB_ID: 508261	SmallMolecule25	
SmallMolecule23	isovaleryl-CoA, a-methylbutyryl-CoA, isobutyryl-CoA	mitochondrial matrix	Reactome DB_ID: 508261	SmallMolecule26	
SmallMolecule6	a-ketoisocaproate, a-keto b-methylvalerate, a-ketoisovalerate	cytosol	Reactome DB_ID: 508187	SmallMolecule7	
SmallMolecule6	a-ketoisocaproate, a-keto b-methylvalerate, a-ketoisovalerate	cytosol	Reactome DB_ID: 508187	SmallMolecule8	
SmallMolecule6	a-ketoisocaproate, a-keto b-methylvalerate, a-ketoisovalerate	cytosol	Reactome DB_ID: 508187	SmallMolecule9	
