Complex1	GPT dimer	cytosol	Reactome DB_ID: 70521	Protein1	
Complex10	ASNS dimer	cytosol	Reactome DB_ID: 507865	Protein9	
Complex100	AGXT2 tetramer	mitochondrial matrix	Reactome DB_ID: 904854	Protein175	
Complex101	HAO1 tetramer	peroxisomal matrix	Reactome DB_ID: 389845	Complex102	
Complex102	HAO1:FMN complex	peroxisomal matrix	Reactome DB_ID: 389810	SmallMolecule254	
Complex102	HAO1:FMN complex	peroxisomal matrix	Reactome DB_ID: 389810	Protein177	
Complex104	MAT I homotetramer	cytosol	Reactome DB_ID: 174405	Complex105	
Complex105	MAT I/III (Mg, K cofactors)	cytosol	Reactome DB_ID: 174402	SmallMolecule52	
Complex105	MAT I/III (Mg, K cofactors)	cytosol	Reactome DB_ID: 174402	SmallMolecule256	
Complex105	MAT I/III (Mg, K cofactors)	cytosol	Reactome DB_ID: 174402	Protein178	
Complex106	MAT II heterotetramer	cytosol	Reactome DB_ID: 353576	Complex107	
Complex106	MAT II heterotetramer	cytosol	Reactome DB_ID: 353576	Protein180	
Complex107	MAT II homodimer	cytosol	Reactome DB_ID: 174371	SmallMolecule52	
Complex107	MAT II homodimer	cytosol	Reactome DB_ID: 174371	Protein179	
Complex107	MAT II homodimer	cytosol	Reactome DB_ID: 174371	SmallMolecule256	
Complex108	MAT III homodimer	cytosol	Reactome DB_ID: 174395	SmallMolecule52	
Complex108	MAT III homodimer	cytosol	Reactome DB_ID: 174395	SmallMolecule256	
Complex108	MAT III homodimer	cytosol	Reactome DB_ID: 174395	Protein178	
Complex109	MTRR:MTR(MeCbl)	cytosol	Reactome DB_ID: 3149551	Complex110	
Complex109	MTRR:MTR(MeCbl)	cytosol	Reactome DB_ID: 3149551	Complex111	
Complex11	GLUD1 hexamer	mitochondrial matrix	Reactome DB_ID: 70583	Protein10	
Complex110	MTR:Zn2+:MeCbl	cytosol	Reactome DB_ID: 3149506	SmallMolecule204	
Complex110	MTR:Zn2+:MeCbl	cytosol	Reactome DB_ID: 3149506	SmallMolecule257	
Complex110	MTR:Zn2+:MeCbl	cytosol	Reactome DB_ID: 3149506	Protein181	
Complex111	MTRR:FMN:FAD	cytosol	Reactome DB_ID: 3149530	Protein182	
Complex111	MTRR:FMN:FAD	cytosol	Reactome DB_ID: 3149530	SmallMolecule258	
Complex111	MTRR:FMN:FAD	cytosol	Reactome DB_ID: 3149530	SmallMolecule231	
Complex112	MTRR:MTR(cob(I)alamin)	cytosol	Reactome DB_ID: 3149516	Complex113	
Complex112	MTRR:MTR(cob(I)alamin)	cytosol	Reactome DB_ID: 3149516	Complex111	
Complex113	MTR:Zn2+:cob(I)alamin	cytosol	Reactome DB_ID: 3149497	SmallMolecule204	
Complex113	MTR:Zn2+:cob(I)alamin	cytosol	Reactome DB_ID: 3149497	SmallMolecule260	
Complex113	MTR:Zn2+:cob(I)alamin	cytosol	Reactome DB_ID: 3149497	Protein181	
Complex114	4x(AHCY:NAD+)	cytosol	Reactome DB_ID: 174358	Complex115	
Complex115	AHCY:NAD+	cytosol	Reactome DB_ID: 174357	Protein183	
Complex115	AHCY:NAD+	cytosol	Reactome DB_ID: 174357	SmallMolecule46	
Complex116	BHMT tetramer	cytosol	Reactome DB_ID: 1614565	SmallMolecule204	
Complex116	BHMT tetramer	cytosol	Reactome DB_ID: 1614565	Protein184	
Complex117	CBS tetramer	cytosol	Reactome DB_ID: 1614610	Protein185	
Complex117	CBS tetramer	cytosol	Reactome DB_ID: 1614610	SmallMolecule128	
Complex118	CTH tetramer:PXLP	cytosol	Reactome DB_ID: 1625212	SmallMolecule11	
Complex118	CTH tetramer:PXLP	cytosol	Reactome DB_ID: 1625212	Protein186	
Complex119	GCL	cytosol	Reactome DB_ID: 174377	Protein187	
Complex119	GCL	cytosol	Reactome DB_ID: 174377	Protein188	
Complex12	GLUL decamer	cytosol	Reactome DB_ID: 70604	Protein11	
Complex120	CNDP2	cytosol	Reactome DB_ID: 1258421	Protein189	
Complex120	CNDP2	cytosol	Reactome DB_ID: 1258421	SmallMolecule152	
Complex121	CDO1:Fe2+	cytosol	Reactome DB_ID: 1614609	Protein190	
Complex121	CDO1:Fe2+	cytosol	Reactome DB_ID: 1614609	SmallMolecule114	
Complex122	CSAD dimer	cytosol	Reactome DB_ID: 1655430	SmallMolecule11	
Complex122	CSAD dimer	cytosol	Reactome DB_ID: 1655430	Protein191	
Complex123	SQR:FAD	mitochondrial inner membrane	Reactome DB_ID: 1614651	Protein192	
Complex123	SQR:FAD	mitochondrial inner membrane	Reactome DB_ID: 1614651	SmallMolecule124	
Complex124	ETHE1:2Zn++	mitochondrial matrix	Reactome DB_ID: 1614521	SmallMolecule280	
Complex124	ETHE1:2Zn++	mitochondrial matrix	Reactome DB_ID: 1614521	Protein195	
Complex125	holo-SUOX	mitochondrial matrix	Reactome DB_ID: 1614636	SmallMolecule287	
Complex125	holo-SUOX	mitochondrial matrix	Reactome DB_ID: 1614636	Protein197	
Complex14	GLS dimer	mitochondrial matrix	Reactome DB_ID: 507860	Protein12	
Complex15	GLS2 dimer	mitochondrial matrix	Reactome DB_ID: 507858	Protein13	
Complex16	CCBL1 dimer	cytosol	Reactome DB_ID: 893603	Protein14	
Complex17	PHGHD tetramer	cytosol	Reactome DB_ID: 977346	Protein15	
Complex18	PSAT1 dimer	cytosol	Reactome DB_ID: 977345	SmallMolecule11	
Complex18	PSAT1 dimer	cytosol	Reactome DB_ID: 977345	Protein16	
Complex19	PSPH:Mg++ dimer	cytosol	Reactome DB_ID: 977344	Protein17	
Complex19	PSPH:Mg++ dimer	cytosol	Reactome DB_ID: 977344	SmallMolecule52	
Complex2	GPT2 dimer	mitochondrial matrix	Reactome DB_ID: 507753	Protein2	
Complex20	BCAT1 dimer	cytosol	Reactome DB_ID: 70699	Protein18	
Complex21	BCAT2 dimer	mitochondrial matrix	Reactome DB_ID: 70704	Protein19	
Complex22	branched-chain alpha-ketoacid dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70019	Complex23	
Complex22	branched-chain alpha-ketoacid dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70019	Complex25	
Complex22	branched-chain alpha-ketoacid dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 70019	Protein23	
Complex23	alpha-keto acid dehydrogenase E3 homodimer	mitochondrial matrix	Reactome DB_ID: 69980	Complex24	
Complex24	alpha-keto acid dehydrogenase E3 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69979	Protein20	
Complex24	alpha-keto acid dehydrogenase E3 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69979	SmallMolecule75	
Complex25	branched-chain alpha-ketoacid dehydrogenase E1 complex	mitochondrial matrix	Reactome DB_ID: 70016	Protein21	
Complex25	branched-chain alpha-ketoacid dehydrogenase E1 complex	mitochondrial matrix	Reactome DB_ID: 70016	SmallMolecule76	
Complex25	branched-chain alpha-ketoacid dehydrogenase E1 complex	mitochondrial matrix	Reactome DB_ID: 70016	Protein22	
Complex26	IVD tetramer	mitochondrial matrix	Reactome DB_ID: 70730	Protein24	
Complex26	IVD tetramer	mitochondrial matrix	Reactome DB_ID: 70730	SmallMolecule75	
Complex27	6x(Btn-MCCC1:MCCC2)	mitochondrial matrix	Reactome DB_ID: 70770	Protein25	
Complex27	6x(Btn-MCCC1:MCCC2)	mitochondrial matrix	Reactome DB_ID: 70770	Protein26	
Complex28	AUH hexamer	mitochondrial matrix	Reactome DB_ID: 508309	Protein27	
Complex29	ACADSB tetramer	mitochondrial matrix	Reactome DB_ID: 70797	Protein28	
Complex29	ACADSB tetramer	mitochondrial matrix	Reactome DB_ID: 70797	SmallMolecule75	
Complex3	GOT1 dimer	cytosol	Reactome DB_ID: 70579	SmallMolecule11	
Complex3	GOT1 dimer	cytosol	Reactome DB_ID: 70579	Protein3	
Complex30	HADH2 tetramer	mitochondrial matrix	Reactome DB_ID: 508381	Protein29	
Complex31	ACAT1 tetramer	mitochondrial matrix	Reactome DB_ID: 70839	Protein30	
Complex32	ACAD8 tetramer	mitochondrial matrix	Reactome DB_ID: 70856	Protein31	
Complex32	ACAD8 tetramer	mitochondrial matrix	Reactome DB_ID: 70856	SmallMolecule75	
Complex33	HIBADH tetramer	mitochondrial matrix	Reactome DB_ID: 70883	Protein33	
