Complex1	Citrate Synthase Holoenzyme	mitochondrial matrix	Reactome DB_ID: 70973	Protein1	
Complex10	alpha-keto acid dehydrogenase E3 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69979	Protein10	
Complex10	alpha-keto acid dehydrogenase E3 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69979	SmallMolecule20	
Complex11	Succinyl-CoA synthetase heterodimer (GDP-forming)	mitochondrial matrix	Reactome DB_ID: 156627	Protein11	
Complex11	Succinyl-CoA synthetase heterodimer (GDP-forming)	mitochondrial matrix	Reactome DB_ID: 156627	Protein12	
Complex12	Succinyl-CoA synthetase heterodimer (ADP-forming)	mitochondrial matrix	Reactome DB_ID: 156625	Protein13	
Complex12	Succinyl-CoA synthetase heterodimer (ADP-forming)	mitochondrial matrix	Reactome DB_ID: 156625	Protein11	
Complex13	Succinate dehydrogenase complex (oxidised)	mitochondrial inner membrane	Reactome DB_ID: 70990	Complex14	
Complex13	Succinate dehydrogenase complex (oxidised)	mitochondrial inner membrane	Reactome DB_ID: 70990	Protein15	
Complex13	Succinate dehydrogenase complex (oxidised)	mitochondrial inner membrane	Reactome DB_ID: 70990	Complex15	
Complex13	Succinate dehydrogenase complex (oxidised)	mitochondrial inner membrane	Reactome DB_ID: 70990	Protein17	
Complex14	Succinate dehydrogenase Iron Sulphur (subunit B)	mitochondrial inner membrane	Reactome DB_ID: 70987	PhysicalEntity1	
Complex14	Succinate dehydrogenase Iron Sulphur (subunit B)	mitochondrial inner membrane	Reactome DB_ID: 70987	Protein14	
Complex15	Succinate dehydrogenase flavoprotein (subunit A), oxidised	mitochondrial inner membrane	Reactome DB_ID: 70984	Protein16	
Complex15	Succinate dehydrogenase flavoprotein (subunit A), oxidised	mitochondrial inner membrane	Reactome DB_ID: 70984	SmallMolecule27	
Complex16	FH tetramer	mitochondrial matrix	Reactome DB_ID: 451041	Protein18	
Complex17	malate dehydrogenase 2 dimer	mitochondrial matrix	Reactome DB_ID: 198511	Protein19	
Complex2	IDH3 complex	mitochondrial matrix	Reactome DB_ID: 70965	SmallMolecule12	
Complex2	IDH3 complex	mitochondrial matrix	Reactome DB_ID: 70965	Protein3	
Complex2	IDH3 complex	mitochondrial matrix	Reactome DB_ID: 70965	Protein4	
Complex2	IDH3 complex	mitochondrial matrix	Reactome DB_ID: 70965	Protein5	
Complex3	IDH2 dimer	mitochondrial matrix	Reactome DB_ID: 450982	SmallMolecule12	
Complex3	IDH2 dimer	mitochondrial matrix	Reactome DB_ID: 450982	Protein6	
Complex4	NNT dimer	mitochondrial inner membrane	Reactome DB_ID: 451008	Protein7	
Complex5	alpha-ketoglutarate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 69996	Complex6	
Complex5	alpha-ketoglutarate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 69996	Complex7	
Complex5	alpha-ketoglutarate dehydrogenase complex	mitochondrial matrix	Reactome DB_ID: 69996	Complex9	
Complex6	alpha-ketoglutarate dehydrogenase E2 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69995	SmallMolecule18	
Complex6	alpha-ketoglutarate dehydrogenase E2 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69995	Protein8	
Complex7	alpha-ketoglutarate dehydrogenase E1 homodimer	mitochondrial matrix	Reactome DB_ID: 69992	Complex8	
Complex8	alpha-ketoglutarate dehydrogenase E1 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69982	Protein9	
Complex8	alpha-ketoglutarate dehydrogenase E1 holoenzyme	mitochondrial matrix	Reactome DB_ID: 69982	SmallMolecule19	
Complex9	alpha-keto acid dehydrogenase E3 homodimer	mitochondrial matrix	Reactome DB_ID: 69980	Complex10	
